#OTU ID	mgm4440090	mgm4440419	mgm4440420	mgm4440421	mgm4440425	mgm4440426	mgm4440428	mgm4440429	mgm4440430	mgm4440432	mgm4440433	mgm4440434	mgm4440435	mgm4440436	mgm4440437	mgm4440438
Nitrospinota	0.0	0.0	8.22842096601662e-05	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47366958454912e-05	2.86615075952995e-05
Candidatus.Tectomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12257393008021e-05	0.0	0.0	0.0003795066413662	0.0	0.0	6.94733916909824e-05	2.86615075952995e-05
Spirochaetota	0.0016548463356974	0.0	0.0001645684193203	0.0007993605115907	0.0007730464472073	0.002875215641173	0.0057471264367816	0.0005202913631633	0.0001836772179024	0.0073529411764705	0.0001174812030075	0.0007590132827324	0.0007912957467853	0.0024691358024691	0.0005905238293733	0.0001862997993694
Bdellovibrionota	0.0004728132387706	0.0001771636105943	8.22842096601662e-05	0.0	0.0001932616118018	0.0017251293847038	0.0	0.0	6.12257393008021e-05	0.0	0.00015664160401	0.0007590132827324	0.0001978239366963	0.0	0.0002084201750729	1.43307537976498e-05
Synergistota	0.000354609929078	0.0	0.0	0.0	0.0003865232236036	0.0	0.0	0.0	0.0	0.0	0.0	0.0003795066413662	0.000593471810089	0.0	0.0001042100875364	8.59845227858985e-05
Fusobacteriota	0.001063829787234	0.0	0.0001645684193203	0.0015987210231814	0.0003221026863364	0.0017251293847038	0.0	0.0	0.0	0.0036764705882352	0.0	0.0003795066413662	0.0003956478733926	0.0037037037037037	0.0001389467833819	0.0
Thermotogota	0.0002364066193853	0.0	0.0	0.0	0.0001288410745345	0.0	0.0028735632183908	0.0	6.12257393008021e-05	0.0	0.0	0.0003795066413662	0.0	0.0012345679012345	6.94733916909824e-05	1.43307537976498e-05
Atribacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0014367816091954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrysiogenota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003956478733926	0.0	3.47366958454912e-05	0.0
Aquificota	0.0	0.0	0.0	0.0	0.0	0.0005750431282346	0.0	0.0	0.0	0.0	3.91604010025063e-05	0.0	0.0	0.0	6.94733916909824e-05	1.43307537976498e-05
Calditrichota	0.0	0.0	0.0	0.0	6.44205372672808e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86615075952995e-05
Deferribacterota	0.0001182033096926	0.0	0.0	0.0	0.0001288410745345	0.0005750431282346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dictyoglomota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	0.0	0.0
Nitrososphaerota	0.0	0.0	0.0	0.0	0.0	0.0	0.0014367816091954	0.0	0.0	0.0036764705882352	0.0	0.0	0.0001978239366963	0.0012345679012345	0.0	0.0
Candidatus.Bathyarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47366958454912e-05	1.43307537976498e-05
Thermoproteota	0.0001182033096926	0.0	8.22842096601662e-05	0.0007993605115907	6.44205372672808e-05	0.0	0.0014367816091954	0.0001300728407908	6.12257393008021e-05	0.0018382352941176	3.91604010025063e-05	0.0	0.0	0.0006172839506172	0.0001389467833819	7.16537689882488e-05
Euryarchaeota	0.0009456264775413	0.537780139959252	0.0005759894676211	0.239808153477218	0.416994137731109	0.002875215641173	0.359195402298851	0.738033298647242	0.739606930753689	0.0036764705882352	0.737586152882206	0.482352941176471	0.184371909000989	0.0086419753086419	0.0031263026260942	0.730266552020636
Candidatus.Woesearchaeota	0.0	0.0	0.0	0.0	0.0001288410745345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001978239366963	0.0006172839506172	0.0001042100875364	1.43307537976498e-05
Candidatus.Micrarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91604010025063e-05	0.0	0.0	0.0	3.47366958454912e-05	2.86615075952995e-05
Candidatus.Aenigmarchaeota	0.0002364066193853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Nanohaloarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001224514786016	0.0	7.83208020050125e-05	0.0	0.0	0.0	0.0	7.16537689882488e-05
Candidatus.Thermoplasmatota	0.0	0.0	0.0	0.0	0.0001288410745345	0.0	0.0	0.0	6.12257393008021e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.7323015190599e-05
Candidatus.Heimdallarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012345679012345	0.0	0.0
Candidatus.Lokiarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006172839506172	0.0	0.0
