#OTU ID	mgm4533635	mgm4546120	mgm4546121	mgm4604227	mgm4654798	mgm4663010
Candidatus.Kerfeldbacteria	4.04149021096579e-05	4.19699199115175e-05	1.16628503228666e-05	0.0001972984299945	0.0002084744879345	0.0001029117308187
Candidatus.Terrybacteria	8.17380042667238e-06	1.60473223191096e-05	2.33257006457331e-06	7.86614655533705e-05	0.0001250846927607	7.60651923442621e-05
Candidatus.Yonathbacteria	2.40673012563131e-05	4.32043293206798e-05	2.33257006457331e-06	0.0002637093394371	5.21186219836348e-05	4.02698077116682e-05
Candidatus.Niyogibacteria	6.81150035556032e-06	3.70322822748684e-06	4.66514012914663e-06	9.67149166639801e-05	0.0001042372439672	3.35581730930568e-05
Candidatus.Campbellbacteria	2.40673012563131e-05	4.07355105023553e-05	3.11009341943109e-06	9.47806183307005e-05	9.38135195705426e-05	4.69814423302795e-05
Candidatus.Colwellbacteria	6.3574003318563e-06	2.59225975924079e-05	4.66514012914663e-06	0.0001289532222186	5.21186219836348e-05	7.15907692651879e-05
Candidatus.Vogelbacteria	1.08984005688965e-05	2.34537787740833e-05	3.11009341943109e-06	0.0009729520616396	4.16948975869078e-05	4.92186538698167e-05
Candidatus.Spechtbacteria	9.99020052148847e-06	1.11096846824605e-05	1.55504670971554e-06	6.31870788871337e-05	8.33897951738156e-05	4.25070192512053e-05
Candidatus.Brennerbacteria	1.81640009481608e-06	1.23440940916228e-06	0.0	6.44766111093201e-07	3.12711731901809e-05	1.56604807767598e-05
Candidatus.Andersenbacteria	2.31591012089051e-05	1.11096846824605e-05	2.33257006457331e-06	5.99632483316677e-05	7.29660707770886e-05	2.01349038558341e-05
Candidatus.Jacksonbacteria	1.81640009481608e-06	2.46881881832456e-06	7.77523354857772e-07	1.09610238885844e-05	0.0	0.0
Candidatus.Parcubacteria	6.3574003318563e-06	1.60473223191096e-05	2.33257006457331e-06	5.80289499983881e-06	2.08474487934539e-05	2.23721153953712e-06
Candidatus.Veblenbacteria	4.54100023704021e-07	1.23440940916228e-06	0.0	0.0	1.04237243967269e-05	2.23721153953712e-06
Candidatus.Woesebacteria	8.12839042430198e-05	0.0001185033032795	5.05390180657551e-05	0.0004190979722105	0.0015948298326992	0.0010626754812801
Candidatus.Gottesmanbacteria	5.44920028444825e-05	0.0001468947196903	2.17706539360176e-05	0.0005957638866501	0.0004794913222494	0.0002639909616653
Candidatus.Roizmanbacteria	0.0001453120075852	0.0001839270019651	5.05390180657551e-05	0.0007118217866468	0.0010006775420857	0.0004340190386702
Candidatus.Levybacteria	5.54002028918906e-05	0.0001110968468246	1.78830371617287e-05	0.0003481736999903	0.0006045760150101	0.0003915120194189
