source,target,type,weight,a,b,c,signal
0,71,Undirected,-0.00600000,3,1,2,neg
0,72,Undirected,0.00740000,4,1,1,pos
0,73,Undirected,-0.01370000,4,2,0,neg
0,74,Undirected,-0.01390000,2,2,2,neg
0,75,Undirected,-0.01220000,2,2,2,neg
0,76,Undirected,-0.00020000,1,3,2,neg
0,77,Undirected,-0.01380000,3,2,1,neg
0,78,Undirected,-0.01250000,3,2,1,neg
0,79,Undirected,-0.01310000,1,3,2,neg
0,80,Undirected,-0.02240000,2,3,1,neg
0,81,Undirected,-0.00470000,2,2,2,neg
0,82,Undirected,0.00420000,3,1,2,pos
0,83,Undirected,0.00100000,2,3,1,pos
0,84,Undirected,-0.03690000,3,2,1,neg
0,85,Undirected,-0.00110000,3,3,0,neg
0,86,Undirected,-0.01040000,3,3,0,neg
0,87,Undirected,-0.01840000,2,3,1,neg
0,88,Undirected,-0.01100000,3,2,1,neg
0,89,Undirected,-0.00800000,4,2,0,neg
0,90,Undirected,-0.00240000,4,2,0,neg
0,91,Undirected,-0.00580000,3,1,2,neg
0,92,Undirected,-0.00400000,1,3,2,neg
0,93,Undirected,0.00590000,4,2,0,pos
0,94,Undirected,0.00300000,2,3,1,pos
0,95,Undirected,-0.01320000,3,2,1,neg
0,96,Undirected,-0.01820000,4,1,1,neg
0,97,Undirected,-0.01560000,2,3,1,neg
0,98,Undirected,-0.02020000,0,5,1,neg
1,2,Undirected,-0.02540000,4,2,0,neg
1,3,Undirected,-0.00950000,3,3,0,neg
1,4,Undirected,-0.00340000,4,2,0,neg
1,5,Undirected,-0.00190000,6,0,0,neg
1,6,Undirected,-0.01480000,6,0,0,neg
1,7,Undirected,-0.00380000,1,5,0,neg
1,8,Undirected,-0.01260000,4,2,0,neg
1,9,Undirected,-0.00720000,6,0,0,neg
1,10,Undirected,-0.00480000,1,5,0,neg
1,11,Undirected,0.00000000,1,5,0,pos
1,12,Undirected,-0.01150000,2,4,0,neg
1,13,Undirected,-0.01770000,2,4,0,neg
1,14,Undirected,-0.04520000,1,5,0,neg
1,15,Undirected,0.00140000,1,5,0,pos
1,16,Undirected,-0.00080000,1,5,0,neg
1,17,Undirected,0.00220000,1,5,0,pos
1,18,Undirected,-0.02610000,3,3,0,neg
1,19,Undirected,-0.00810000,2,4,0,neg
1,20,Undirected,-0.01270000,2,4,0,neg
1,21,Undirected,-0.01900000,2,4,0,neg
1,22,Undirected,-0.01060000,2,4,0,neg
1,23,Undirected,-0.01020000,2,4,0,neg
1,24,Undirected,-0.01770000,1,5,0,neg
1,25,Undirected,-0.00970000,1,5,0,neg
1,26,Undirected,-0.00450000,3,3,0,neg
1,27,Undirected,-0.01040000,2,4,0,neg
1,28,Undirected,-0.03400000,1,5,0,neg
1,29,Undirected,-0.00970000,1,5,0,neg
1,30,Undirected,0.00310000,1,5,0,pos
1,31,Undirected,-0.00270000,3,3,0,neg
1,32,Undirected,-0.03940000,1,5,0,neg
1,33,Undirected,-0.02690000,2,4,0,neg
1,34,Undirected,-0.01860000,2,4,0,neg
1,35,Undirected,-0.00850000,2,4,0,neg
1,36,Undirected,-0.01130000,2,4,0,neg
1,37,Undirected,-0.03030000,3,3,0,neg
1,38,Undirected,-0.00340000,1,5,0,neg
1,39,Undirected,0.00850000,6,0,0,pos
1,40,Undirected,0.00880000,2,4,0,pos
1,41,Undirected,-0.03550000,2,4,0,neg
1,42,Undirected,0.00910000,4,2,0,pos
1,43,Undirected,-0.01530000,2,4,0,neg
1,44,Undirected,-0.00310000,5,1,0,neg
1,45,Undirected,-0.02130000,1,5,0,neg
1,46,Undirected,-0.00880000,5,1,0,neg
1,47,Undirected,0.01660000,2,4,0,pos
1,48,Undirected,-0.01350000,1,5,0,neg
1,49,Undirected,-0.03430000,2,4,0,neg
1,50,Undirected,-0.03380000,1,5,0,neg
1,51,Undirected,-0.01880000,1,5,0,neg
1,52,Undirected,-0.01220000,2,4,0,neg
1,53,Undirected,-0.01360000,2,4,0,neg
1,54,Undirected,-0.01480000,1,5,0,neg
1,55,Undirected,0.00170000,2,4,0,pos
1,56,Undirected,-0.02410000,2,4,0,neg
1,57,Undirected,-0.04370000,1,5,0,neg
1,58,Undirected,-0.00240000,2,4,0,neg
1,59,Undirected,-0.03240000,1,5,0,neg
1,60,Undirected,-0.02860000,1,5,0,neg
1,61,Undirected,-0.04750000,1,5,0,neg
1,62,Undirected,-0.02240000,1,5,0,neg
1,63,Undirected,-0.02100000,1,5,0,neg
1,64,Undirected,-0.02620000,1,5,0,neg
1,65,Undirected,-0.00210000,3,3,0,neg
1,66,Undirected,0.00810000,3,3,0,pos
