#OTU ID	mgm4440939	mgm4440940	mgm4440941	mgm4440942	mgm4440943	mgm4440944	mgm4440945	mgm4440946	mgm4440947	mgm4440948	mgm4440949	mgm4440950	mgm4524574	mgm4525093	mgm4525311	mgm4525312	mgm4525314	mgm4525315	mgm4525317	mgm4525322	mgm4525323	mgm4525324	mgm4525325	mgm4525701	mgm4530711	mgm4530717	mgm4536624	mgm4543593	mgm4543594	mgm4543595	mgm4543596	mgm4691110	mgm4691111	mgm4691112	mgm4691113	mgm4691114	mgm4691115	mgm4691116	mgm4691117	mgm4691118	mgm4691119	mgm4691120	mgm4691121	mgm4691122	mgm4691123	mgm4691124	mgm4691125	mgm4691126	mgm4691127	mgm4601031	mgm4444195	mgm4444196	mgm4560101	mgm4560102	mgm4560103	mgm4560104	mgm4560105	mgm4560106
Candidatus Wirthbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65527561166572e-06	2.03327040361434e-06	0.0	1.91535105990739e-06	8.49111235270043e-07	2.38200159594107e-06	3.72904277957877e-06	9.81345601461812e-07	2.11028786436758e-06	2.23922791421518e-06	1.22631675761849e-05	9.04823432755332e-07	1.46044458854164e-06	2.5474169828648e-06	1.40114501570684e-06	0.0	3.50189715278252e-06	0.0	0.0	0.0	0.0	4.08762227100118e-07	5.94714966332525e-06	5.27283771470995e-07	4.55685399089272e-06	3.53958620113557e-07	3.70633703328723e-06
Candidatus Abawacabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01663520180717e-06	0.0	2.87302658986109e-06	8.49111235270043e-07	0.0	0.0	0.0	2.11028786436758e-06	7.83729769975313e-06	4.90526703047397e-06	0.0	0.0	1.2737084914324e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.17524454200236e-07	1.32158881407228e-06	1.58185131441299e-06	1.07220093903358e-06	1.06187586034067e-06	2.47089135552482e-06
Candidatus Absconditabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1769228325444e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96582683499716e-06	3.04990560542151e-06	0.0	4.78837764976848e-06	4.24555617635021e-06	5.95500398985267e-06	1.36731568584555e-05	9.81345601461812e-07	0.0	5.59806978553795e-06	0.0	1.80964686551066e-06	5.84177835416658e-06	2.5474169828648e-06	5.60458006282734e-06	5.43957179690815e-06	1.40075886111301e-05	1.09496164349363e-06	0.0	1.30272791224825e-05	6.55527076545897e-06	4.08762227100118e-07	1.4207079751277e-05	1.05456754294199e-06	6.43320563420149e-06	3.53958620113557e-07	9.88356542209928e-06
candidate division CPR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04990560542151e-06	0.0	0.0	8.49111235270043e-07	1.19100079797053e-06	0.0	0.0	0.0	1.11961395710759e-06	0.0	0.0	2.92088917708329e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2951636457349e-06	0.0	2.68050234758396e-07	0.0	1.23544567776241e-06
Candidatus Delongbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2763780583286e-06	4.06654080722868e-06	6.2510001600256e-06	3.83070211981479e-06	2.54733370581013e-06	2.38200159594107e-06	4.97205703943836e-06	1.96269120292362e-06	4.22057572873516e-06	4.47845582843036e-06	0.0	3.61929373102133e-06	4.38133376562493e-06	8.9159594400268e-06	7.00572507853418e-06	1.08791435938163e-06	5.25284572917378e-06	2.18992328698726e-06	0.0	0.0	0.0	0.0	2.47797902638552e-05	0.0	6.96930610371829e-06	2.12375172068134e-06	3.70633703328723e-06
Candidatus Calescamantes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46044458854164e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.30397203518069e-07	0.0	8.04150704275187e-07	3.53958620113557e-07	0.0
Planctomycetota	0.0006190353366004	0.0002587098999655	0.0023492560689115	0.0013200739241397	0.0013710704142591	0.0018302447952413	0.0005040322580645	0.0001657687525901	0.0005330490405117	0.0005975637784417	0.0003740764986439	8.91742464776173e-05	0.0011506198500482	0.0035647498831229	0.0012693473098026	0.0044068056407112	4.74090930640497e-05	0.0022556152111065	0.0028482139325131	0.0028482139325131	0.0044178794178794	0.0010423053341508	0.0001253577920314	0.0004790583082398	0.0004790583082398	0.0024273911932544	0.0024273911932544	0.0	0.0	0.0	0.0	0.0008143956009395	0.0005449164681686	0.0003563070091214	0.0003801971853916	0.0001817098043477	0.0003060872050784	0.0002933513653268	0.0004180532262227	0.0006541892379539	0.0005564481366824	0.0012385799251946	0.0002189672707267	0.0010471387699843	0.0007973415156366	0.0002928393082827	0.0001838575267354	0.0002959103094101	0.0001565795150195	0.0	6.51363956124124e-05	0.0003015424552111	0.0001075044657273	0.001281280355243	7.11833091485843e-05	0.0005385129216296	0.0001327344825425	0.0009698248570434
Candidatus Omnitrophica	5.15862780500387e-05	0.0	0.0002936570086139	8.80049282759835e-05	0.000195867202037	5.71951498512926e-05	0.0	0.0	4.10037723470559e-05	4.59664444955183e-05	0.0	0.0	0.0	0.0001168770453482	0.0	0.0006514408338442	0.0	0.0001906153699526	0.0005142608489259	0.0005142608489259	0.0001039501039501	9.19681177191907e-05	0.0	0.0	0.0	4.25858104079721e-05	4.25858104079721e-05	0.0	0.0	0.0	0.0	0.0003111918149931	0.0001494453746656	0.0001000160025604	0.0001206671167741	7.8967344880114e-05	9.88530662315544e-05	0.0001255444402458	9.71532145447194e-05	0.0002975505888758	0.0002787838753197	0.0003997792629836	8.41485792462459e-05	0.0004030827064374	0.0002878581190637	0.0001779454169947	7.07144333598059e-05	0.0001138116574654	4.27035040962515e-05	0.0007930214115781	6.51363956124124e-05	5.24421661236717e-05	4.4963844981013e-05	0.0002861239782466	3.11097425167887e-05	0.0001190143042327	4.45987861343082e-05	0.0002736512176243
Verrucomicrobiota	0.0017539334537013	0.0	0.0007341425215348	0.0021561207427615	0.0007345020076388	0.0148707389613361	0.0	0.0001657687525901	0.0031572904707233	0.0002298322224775	0.0014963059945758	0.0001783484929552	7.42335387127904e-05	0.0006428237494156	0.0009008271230857	0.0009963212752912	0.0	0.0018108460145503	0.0003560267415641	0.0003560267415641	0.0093555093555093	0.0018700183936235	0.0	6.84369011771147e-05	6.84369011771147e-05	0.0002129290520398	0.0002129290520398	0.0	0.0	0.0	0.0001011940902651	0.0009319201693678	0.0019183906258101	0.0081525544087053	0.0001838737017511	0.0156075136154987	0.0063516072555768	0.0252965832024025	0.0059754133673009	0.0005254616782275	0.0003090134521616	0.0071150898277025	0.0020666167204131	0.0003037724744166	0.0003260693738066	0.000128905341445	0.0001251101513288	0.0005795639787855	7.88372383315412e-05	0.0	2.6054558244965e-05	1.96658122963769e-05	0.0042740178465588	0.0007113451791744	0.005190054162589	0.0003187117291277	0.02727392751423	0.0007554750319517
Lentisphaerota	0.0001031725561	0.0	0.0003915426781519	8.80049282759835e-05	0.000195867202037	5.71951498512926e-05	0.0	0.0	4.10037723470559e-05	4.59664444955183e-05	0.0	0.0	0.0	0.0	4.09466874129883e-05	0.0002682403433476	0.0	9.53076849763319e-05	0.0001582341073618	0.0001582341073618	0.0001039501039501	0.0	0.0	0.0	0.0	0.0001277574312239	0.0001277574312239	0.0	0.0	0.0	0.0	0.0001688381123899	0.0001077633313915	8.87642022723636e-05	6.3206584976944e-05	3.9059116822422e-05	0.0001750771173016	2.98323422366301e-05	9.61718689432576e-05	9.91835296252762e-05	0.0001209183073676	0.0002624317861303	3.61929373102133e-05	0.0004410542657395	0.0001350131000918	5.04412205654461e-05	4.35165743752652e-05	9.10493259723455e-05	2.62790794438471e-05	0.0	0.0	0.0	1.96205869008057e-05	0.0002785248425657	2.95278912023757e-05	8.52399746531698e-05	2.54850206481761e-05	0.0002483245812302
Chlamydiota	5.15862780500387e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.10037723470559e-05	9.19328889910365e-05	0.0	0.0	0.0	0.0	8.18933748259766e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.13120784794605e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.04464510921657e-05	0.0	0.0	0.0001258009464865	2.03327040361434e-05	1.87530004800768e-05	3.1603292488472e-05	1.27366685290506e-05	2.73930183533223e-05	1.86452138978938e-05	2.55149856380071e-05	0.0001350584233195	4.14257164129808e-05	8.82948065485315e-05	1.99061155206173e-05	3.50506701249995e-05	3.56638377601072e-05	2.80229003141367e-05	2.82857733439224e-05	3.15170743750427e-05	7.6647315044554e-06	0.0	1.30272791224825e-05	6.55527076545897e-06	6.94895786070201e-06	0.0001126654463996	1.26548105153039e-05	4.02075352137593e-05	1.16806344637474e-05	0.0001136610023541
Kiritimatiellota	0.0	0.0	0.0	4.40024641379917e-05	0.0	5.71951498512926e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.53076849763319e-05	3.95585268404605e-05	3.95585268404605e-05	5.1975051975052e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26954342532803e-05	2.74491504487936e-05	1.50024003840614e-05	3.1603292488472e-05	1.27366685290506e-05	1.90560127675286e-05	1.74021996380342e-05	1.96269120292362e-05	4.64263330160867e-05	3.24688047561201e-05	5.15053038199767e-05	4.52411716377666e-06	1.60648904739581e-05	1.01896679314592e-05	4.20343504712051e-06	4.35165743752652e-06	1.57585371875213e-05	1.09496164349363e-06	0.0	0.0	0.0	2.04381113550059e-06	5.38547441734453e-05	3.69098640029697e-06	1.90315666678461e-05	2.83166896090846e-06	3.39747561384663e-05
Thermodesulfobacteriota	0.0086664947124065	8.62366333218351e-05	0.0101311667971809	0.0084484731144944	0.0173342473802762	0.0032029283916723	0.0001260080645161	0.0049730625777041	0.0040593734623585	0.0024821880027579	0.0007481529972879	8.91742464776173e-05	0.0015960210823249	0.0003506311360448	0.0053230693636884	0.0093500919681177	0.0	0.0065444610350414	0.0115906483642549	0.0115906483642549	0.0035343035343035	0.0027590435315757	2.08929653385705e-05	0.0	0.0	0.0013201601226471	0.0013201601226471	0.0	5.04464510921657e-05	0.0	0.0	0.0017943187630456	0.0014304057289426	0.0011076772283565	0.0009279875885251	0.0006741943208044	0.0010635637125876	0.0006488534436467	0.0013630890404304	0.0012514007035699	0.0024340407427519	0.0071028266601263	0.0004578406569741	0.0044967088881197	0.0025219428130361	0.0006487301422722	0.0004079678847681	0.0006373452818064	0.0004445544272584	0.0	6.51363956124124e-05	0.0001638817691364	0.0012994551199512	0.0117129112619191	0.004507221678534	0.0024475666935789	0.0032440307533407	0.0032720778775537
Nitrospirota	0.0001031725561	0.0	0.0005873140172278	0.0001760098565519	0.0002938008030555	5.71951498512926e-05	0.0	0.0	0.0002050188617352	0.000183865777982	0.0	0.0	0.0	0.0	0.0002047334370649	0.0008047210300429	0.0	0.0003494615115798	3.95585268404605e-05	3.95585268404605e-05	0.0002079002079002	0.0001839362354383	0.0	0.0	0.0	8.51716208159441e-05	8.51716208159441e-05	0.0	0.0	0.0003993610223642	0.0	0.0002797415783715	0.0001331792114367	0.0001100176028164	0.0001034289572349	6.45324538805233e-05	0.0001119540750092	0.0001603488395218	0.0001295376193929	0.0002279110893516	0.0001578655679521	0.0005739162425654	6.60521105911392e-05	0.0002161457991041	0.0003018689124694	0.0001513236616963	5.54836323284631e-05	8.92983773959543e-05	3.94186191657706e-05	0.0	1.30272791224825e-05	5.89974368891307e-05	2.12556358092061e-05	0.0003310579979251	2.63641885735498e-05	0.0001629745427331	3.99973240728319e-05	0.000269944880591
Campylobacterota	0.0004126902244003	8.62366333218351e-05	0.0007830853563038	0.0005720320337938	0.0004407012045832	0.0004575611988103	0.0	0.0007459593866556	0.0003280301787764	0.0002298322224775	0.0002805573739829	8.91742464776173e-05	0.0003340509242075	0.0002921926133707	0.0004094668741298	0.0011112814224402	4.74090930640497e-05	0.0004129999682307	0.0006329364294473	0.0006329364294473	0.0003638253638253	0.0002145922746781	0.0	0.0	0.0	0.0006387871561195	0.0006387871561195	0.142371107040042	0.0001513393532764	0.140575079872204	0.0021250758955677	0.000445269139538	0.0003975043639066	0.0004063150104016	0.0006473886582486	0.000383798278342	0.0004585353072186	0.0005059068037628	0.0004052957334037	0.0004072855578229	0.0003504391685746	0.001356306333926	0.000395407840114	0.0006572000648437	0.0009361757412028	0.0003881171693507	0.0004210228570806	0.0007353984020843	0.0001237306657147	0.0	0.0249472395195539	7.86632491855076e-05	0.0005910701803867	0.0030330463282958	0.0002388595484763	0.0015118033240373	0.0273935655278284	0.0045260552404825
Bacteroidota	0.417848852205313	0.0086236633321835	0.184074001566171	0.267887001672094	0.367495837821957	0.33007320979181	0.0003780241935483	0.552092830501451	0.540716745940627	0.423764651804183	0.0390909941082951	0.0010700909577314	0.605634325588301	0.0078307620383356	0.548398984522152	0.140021459227468	0.0016593182572417	0.24363821202783	0.468056489576328	0.468056489576328	0.276871101871102	0.676486817903127	0.0001671437227085	0.0002737476047084	0.0002737476047084	0.561749425091559	0.561749425091559	0.0622873593300183	0.863643242697876	0.0531150159744409	0.856405585913783	0.0897937361060303	0.429947226466674	0.467731086973916	0.135082048851029	0.582846085002828	0.623929588032824	0.197472703406853	0.412559653545749	0.270958851496933	0.125353098251723	0.307182537249372	0.444379598765097	0.194252274277336	0.208902203388319	0.470678238256303	0.215819362699768	0.388747353878964	0.686837685075892	0.762886597938144	0.040124019697246	0.0198559151485752	0.0765734280026651	0.311553659809823	0.567032004015793	0.260102545297809	0.221122551447001	0.392922378801235
Ignavibacteriota	0.0001031725561	0.0	0.0002447141738449	4.40024641379917e-05	4.89668005092547e-05	5.71951498512926e-05	0.0	8.28843762950684e-05	0.0001230113170411	0.0001378993334865	0.0	0.0	0.0	0.0001168770453482	8.18933748259766e-05	0.0002299202942979	0.0	9.53076849763319e-05	7.91170536809209e-05	7.91170536809209e-05	0.0001039501039501	6.13120784794605e-05	0.0	0.0	0.0	0.0002981006728558	0.0002981006728558	0.0	0.0001513393532764	0.0	0.0	0.0001589064587199	7.11644641265019e-05	5.125820131221e-05	6.41642605068977e-05	7.04762325274136e-05	8.6943058251849e-05	7.58238698514349e-05	5.59366992833233e-05	0.0001646024534206	7.61337490833161e-05	0.000269789686676	5.42894059653199e-05	7.59431186041655e-05	0.0001732243548348	5.60458006282734e-05	8.48573200317671e-05	0.0001225664003473	2.73740410873407e-05	0.0	3.90818373674474e-05	1.31105415309179e-05	3.59710759848104e-05	0.0003766528120105	2.21459184017818e-05	0.0001329529164401	2.05295999665863e-05	0.0002588258694912
