#OTU ID	mgm4739968	mgm4739971	mgm4742213
Candidatus.Saccharibacteria	0.0001171799297821	0.0001193489310039	0.0001219348623965
Candidatus.Eisenbacteria	9.01384075247543e-06	1.64619215177892e-05	2.03224770660846e-05
Candidatus.Desantisbacteria	1.35207611287131e-05	2.46928822766837e-05	2.43869724793016e-05
Candidatus.Edwardsbacteria	4.50692037623771e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Lindowbacteria	4.50692037623771e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Ratteibacteria	1.80276815049509e-05	2.05774018972365e-05	1.21934862396508e-05
Candidatus.Dadabacteria	1.35207611287131e-05	1.64619215177892e-05	1.62579816528677e-05
Candidatus.Firestonebacteria	3.60553630099017e-05	3.70393234150256e-05	3.65804587189523e-05
Candidatus.Raymondbacteria	4.50692037623771e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Riflebacteria	1.35207611287131e-05	4.11548037944729e-06	1.21934862396508e-05
Candidatus.Wallbacteria	9.01384075247543e-06	8.23096075889458e-06	8.12899082643385e-06
candidate.division.CPR1	4.50692037623771e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Coatesbacteria	9.01384075247543e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Bipolaricaulota	0.0	4.11548037944729e-06	4.06449541321693e-06
Candidatus.Blackallbacteria	9.01384075247543e-06	8.23096075889458e-06	8.12899082643385e-06
candidate.division.CPR2	9.01384075247543e-06	1.23464411383419e-05	8.12899082643385e-06
Candidatus.Fischerbacteria	2.70415222574263e-05	2.05774018972365e-05	2.84514678925185e-05
Candidatus.Sumerlaeota	0.0	0.0	4.06449541321693e-06
Candidatus.Wirthbacteria	0.0	0.0	4.06449541321693e-06
Candidatus.Abawacabacteria	1.35207611287131e-05	1.64619215177892e-05	1.21934862396508e-05
Candidatus.Absconditabacteria	3.60553630099017e-05	2.8808362656131e-05	2.84514678925185e-05
candidate.division.CPR3	9.01384075247543e-06	1.23464411383419e-05	1.21934862396508e-05
Candidatus.Delongbacteria	0.0	4.11548037944729e-06	4.06449541321693e-06
Candidatus.Calescamantes	4.50692037623771e-06	4.11548037944729e-06	4.06449541321693e-06
Planctomycetota	0.0029475259260594	0.0032306520978661	0.0034466921104079
Candidatus.Omnitrophica	0.0003290051874653	0.0003292384303557	0.0003332886238837
Verrucomicrobiota	0.0010185640050297	0.0010700248986563	0.0011461877065271
Lentisphaerota	0.0001487283724158	0.0001728501759367	0.0001869667890079
Chlamydiota	0.0003064705855841	0.0002551597835257	0.0002682566972723
Kiritimatiellota	4.05622833861394e-05	3.29238430355783e-05	3.25159633057354e-05
Thermodesulfobacteriota	0.0020912110545743	0.0020700866308619	0.0022029565139635
Nitrospirota	0.0004191435949901	0.0003992015968063	0.0003901915596688
Campylobacterota	0.0055344982220199	0.0054159721793526	0.0054261013766446
Bacteroidota	0.140904358642696	0.13663806407803	0.141037990838627
Ignavibacteriota	0.0008067387473465	0.00081898059551	0.0008372860551226
Chlorobiota	0.0001397145316633	0.0001358108525217	0.0001300638532229
Balneolota	4.95761241386148e-05	3.70393234150256e-05	3.65804587189523e-05
Gemmatimonadota	0.0001171799297821	0.0001399263329012	0.0001219348623965
candidate.division.Zixibacteria	7.66176463960411e-05	8.23096075889458e-05	8.12899082643385e-05
Candidatus.Marinimicrobia	0.001158278536693	0.0011070642220713	0.0011665101835932
Candidatus.Hydrogenedentes	4.50692037623771e-06	8.23096075889458e-06	4.06449541321693e-06
Fibrobacterota	1.35207611287131e-05	1.64619215177892e-05	1.62579816528677e-05
Candidatus.Cloacimonetes	9.01384075247543e-06	1.23464411383419e-05	1.21934862396508e-05
Elusimicrobiota	0.0003470328689703	0.0003745087145297	0.000394256055082
Acidobacteriota	0.0006129411711683	0.0006667078214704	0.0006503192661147
Myxococcota	0.0009374394382574	0.0011605654670041	0.0012071551377254
Nitrospinota	0.0001081660890297	0.0001193489310039	0.0001219348623965
Candidatus.Tectomicrobia	2.25346018811886e-05	3.70393234150256e-05	2.84514678925185e-05
Spirochaetota	0.0015233390871683	0.0014980348581188	0.0015323147707827
Bdellovibrionota	0.0008202595084752	0.0009671378891701	0.0007519316514451
Synergistota	4.50692037623771e-05	6.58476860711567e-05	7.31609174379047e-05
Caldisericota	1.80276815049509e-05	2.46928822766837e-05	2.43869724793016e-05
Fusobacteriota	0.0013340484313663	0.0012140667119369	0.0012030906423122
Thermotogota	0.0005047750821386	0.0004485873613597	0.0004755459633463
Atribacterota	7.66176463960411e-05	9.05405683478404e-05	9.75478899172062e-05
Chrysiogenota	1.35207611287131e-05	1.23464411383419e-05	1.21934862396508e-05
Aquificota	0.000153235292792	0.0001646192151778	0.0001544508257022
Calditrichota	4.05622833861394e-05	4.93857645533675e-05	4.47094495453862e-05
Deferribacterota	0.0001622491335445	0.0001399263329012	0.0001259993578097
Dictyoglomota	5.85899648910903e-05	6.58476860711567e-05	6.50319266114708e-05
Coprothermobacterota	1.80276815049509e-05	1.64619215177892e-05	1.62579816528677e-05
Nitrososphaerota	0.0006129411711683	0.0005720517727431	0.0005852873395032
Candidatus.Bathyarchaeota	2.70415222574263e-05	2.8808362656131e-05	3.25159633057354e-05
Thermoproteota	0.000247880620693	0.000193427577834	0.0002357407339665
Euryarchaeota	0.0013070069091089	0.0014363026524271	0.0015485727524356
Candidatus.Woesearchaeota	6.3096885267328e-05	6.17322056917094e-05	6.50319266114708e-05
Nanoarchaeota	1.80276815049509e-05	2.05774018972365e-05	2.43869724793016e-05
Candidatus.Micrarchaeota	2.70415222574263e-05	2.05774018972365e-05	3.25159633057354e-05
Candidatus.Diapherotrites	1.35207611287131e-05	1.23464411383419e-05	1.21934862396508e-05
Candidatus.Altiarchaeota	9.01384075247543e-06	1.64619215177892e-05	1.62579816528677e-05
Candidatus.Aenigmarchaeota	9.01384075247543e-06	8.23096075889458e-06	8.12899082643385e-06
Candidatus.Thermoplasmatota	3.60553630099017e-05	3.29238430355783e-05	3.25159633057354e-05
Candidatus.Heimdallarchaeota	7.66176463960411e-05	8.23096075889458e-05	9.34833945039893e-05
Candidatus.Lokiarchaeota	1.80276815049509e-05	2.8808362656131e-05	1.62579816528677e-05
Candidatus.Odinarchaeota	9.01384075247543e-06	1.23464411383419e-05	1.21934862396508e-05
Candidatus.Thorarchaeota	4.50692037623771e-06	4.11548037944729e-06	4.06449541321693e-06
