#OTU ID	mgm4713017	mgm4713020	mgm4713021	mgm4713022	mgm4713025	mgm4713028	mgm4713031	mgm4713033	mgm4713035	mgm4713037
Candidatus.Taylorbacteria	8.946369231807e-05	3.66217268102746e-05	9.31661691206143e-05	5.87412404844629e-05	5.22462407460426e-05	6.09823989059364e-05	6.29733249946542e-05	4.10156254513163e-05	9.94708047924929e-05	9.43541494392514e-05
Candidatus.Buchananbacteria	5.54503396476217e-05	5.02627055885984e-05	6.22867306302124e-05	5.00388344867647e-05	4.02380321874764e-05	4.44581359765859e-05	4.95121965559935e-05	4.69080110795336e-05	6.73664709705772e-05	6.17852044551443e-05
Candidatus.Portnoybacteria	0.0001083282408579	2.5192798644652e-05	9.76529251405872e-05	4.71938171413634e-05	6.25690866998978e-05	5.84250725002036e-05	5.09047270841308e-05	2.65735038135289e-05	9.65761517429759e-05	9.81857900256169e-05
Candidatus.Adlerbacteria	8.86062128389831e-06	1.05686862606833e-05	1.21406339363973e-05	1.50618565344777e-05	3.58139553501099e-06	3.14747865320962e-06	1.36158540528982e-05	1.21313821757414e-05	1.2894363584212e-05	1.556603988211e-05
Candidatus.Sungbacteria	6.51684404106069e-05	4.60843877646073e-05	6.86209744231153e-05	5.25491439091777e-05	4.8032834234265e-05	5.15399629463076e-05	5.38445137546429e-05	4.27486800478508e-05	7.4734678732984e-05	6.72931877980448e-05
Candidatus.Jorgensenbacteria	7.25999292293603e-05	2.92482247679375e-05	6.88849012478196e-05	4.55202775264214e-05	5.60383066066425e-05	5.724476800525e-05	4.34778976007318e-05	3.165713063003e-05	6.86822223567213e-05	7.25616936042974e-05
Candidatus.Liptonbacteria	8.03172445411427e-05	2.777352435947e-05	8.23451693077384e-05	3.96628888741245e-05	3.85526695827653e-05	4.32778314816323e-05	4.53346049715815e-05	2.58802819749151e-05	6.71033206933484e-05	6.89695305545797e-05
Candidatus.Tagabacteria	5.60219926336796e-05	1.14289281656226e-05	5.22575112914494e-05	2.91195892999902e-05	3.83419992571764e-05	3.5015700016957e-05	2.76958849485089e-05	1.19003082295368e-05	6.92085229111789e-05	6.89695305545797e-05
Candidatus.Ryanbacteria	2.88684757959267e-05	1.73277297994924e-05	2.34894873986818e-05	2.46010323396469e-05	1.7696307349466e-05	1.94750241667345e-05	2.33635677498594e-05	1.89480635887771e-05	2.92096807723987e-05	2.63425290312631e-05
Candidatus.Wildermuthbacteria	1.02897537490432e-05	1.36409787783238e-05	1.24045607611016e-05	1.27189010735589e-05	1.11655272562107e-05	1.29833494444897e-05	1.43894821240856e-05	1.45576586108897e-05	1.34206641386697e-05	1.17343992957445e-05
Candidatus.Komeilibacteria	4.54464123916074e-05	2.777352435947e-05	5.30492917655622e-05	3.84914111436652e-05	3.22325598150989e-05	3.46222651853058e-05	3.52774400461454e-05	2.54181340825059e-05	5.65773096041957e-05	5.77140863321309e-05
Candidatus.Kuenenbacteria	2.05795074980864e-05	1.43783289825575e-05	1.76830972551874e-05	1.67353961494196e-05	1.36935711632773e-05	1.49505236027457e-05	2.02690554651098e-05	1.54819543957081e-05	2.31572243961359e-05	2.13135007616583e-05
Candidatus.Lloydbacteria	4.34456269404046e-05	1.76964049016092e-05	4.77707552714764e-05	3.39728541833219e-05	2.10670325588881e-05	2.45896769782002e-05	3.28018302183457e-05	1.91791375349817e-05	4.73670499011871e-05	5.55587885023003e-05
Candidatus.Kerfeldbacteria	3.40133526704483e-05	2.60530405495913e-05	3.74776091080091e-05	3.48096239907929e-05	2.82298236289101e-05	2.89174601263634e-05	3.46585375891954e-05	2.81910214369611e-05	4.26303449110684e-05	4.50217768897951e-05
Candidatus.Terrybacteria	3.51566586425642e-05	1.30265202747957e-05	3.43104872115577e-05	2.09192451867746e-05	1.74856370238772e-05	2.16389157408161e-05	2.22804884501971e-05	1.50198065032989e-05	4.84196510101023e-05	5.17271479159348e-05
Candidatus.Yonathbacteria	0.0002040801160226	2.49470152432408e-05	0.000203487581847	6.96192479815857e-05	0.0001567387222381	0.0001591443894029	7.16379593919531e-05	2.160541397013e-05	0.0001657846746541	0.0001640421126037
Candidatus.Niyogibacteria	1.65779365956807e-05	1.33951953769125e-05	1.37241948846231e-05	1.47271486114893e-05	1.13761975817996e-05	1.12128927020593e-05	1.43894821240856e-05	1.27090670412529e-05	2.447297578228e-05	2.77793942511502e-05
