#OTU ID	mgm4530252	mgm4530253	mgm4530254	mgm4530373	mgm4530430	mgm4530431	mgm4530432	mgm4530290	mgm4530291	mgm4530370	mgm4530372	mgm4530427	mgm4530428	mgm4530429	mgm4461451	mgm4461452	mgm4461453	mgm4461454	mgm4461455	mgm4461456	mgm4775061	mgm4775062	mgm4476434	mgm4476436	mgm4476439
Candidatus Campbellbacteria	8.462671157524159e-06	4.27533133817871e-05	2.62679771468599e-05	0.0	0.0	0.0	4.27578834847675e-05	2.00499243115357e-05	5.2121881808420796e-05	9.11618578786636e-05	0.0	2.3242841204908897e-05	3.60917017959231e-05	2.3998656075259803e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.11759814746931e-05	6.3628106443459295e-06	0.0	0.0	0.0005162622612287
Candidatus Colwellbacteria	2.53880134725725e-05	3.66456971843889e-05	2.1889980955716603e-05	0.0	0.0	0.0	0.0	3.0074886467303602e-05	1.0424376361684199e-05	0.0	0.00011066843736166001	7.74761373496963e-06	2.16550210775538e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53270603081505e-05	1.3918648284506699e-05	0.0	0.0	0.0
Candidatus Vogelbacteria	8.462671157524159e-06	1.83228485921945e-05	2.1889980955716603e-05	0.0	4.98272654796705e-05	0.00011834319526626999	0.00017103153393907	0.0	4.16975054467366e-05	0.0	0.00011066843736166001	3.09904549398785e-05	2.8873361436738502e-05	2.3998656075259803e-05	0.00043975373790677	0.0	0.00059500198333994	0.0	0.00043927081045464	0.0	7.3442163976554705e-06	5.5674593138026905e-06	0.0	0.0	0.0
Candidatus Spechtbacteria	0.0	3.66456971843889e-05	1.75119847645733e-05	1.03499311729577e-05	4.98272654796705e-05	5.0718512256973796e-05	2.13789417423838e-05	0.0	2.08487527233683e-05	0.0	0.0	7.74761373496963e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01167666544476e-05	1.19302699581486e-05	0.0	0.0	0.0005162622612287
Candidatus Brennerbacteria	8.462671157524159e-06	3.05380809869908e-06	1.75119847645733e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19313756419803e-07	0.0	0.0	0.0	0.0
Candidatus Andersenbacteria	8.462671157524159e-06	2.44304647895926e-05	0.0	0.0	0.00019930906191868	0.00011834319526626999	0.00010689470871191	2.00499243115357e-05	1.0424376361684199e-05	0.00013674278681799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57941269259409e-06	8.74886463597565e-06	0.0	0.0	0.0
Candidatus Jacksonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3442163976554705e-06	4.374432317987819e-06	0.0	0.0	0.0
Candidatus Parcubacteria	8.462671157524159e-06	6.10761619739816e-06	0.0	0.0	0.0	0.0	6.41368252271513e-05	0.0	0.0	0.0	0.0	7.74761373496963e-06	2.16550210775538e-05	2.3998656075259803e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Veblenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Woesebacteria	8.462671157524159e-05	8.856043486227329e-05	8.3181927631723e-05	5.17496558647885e-05	0.00039861812383736	0.00032121724429416	0.0005558524853019701	0.00011027458371343999	0.00016679002178694	0.00018232371575732	0.00022133687472332002	6.1980909879757e-05	9.38384246694e-05	2.3998656075259803e-05	0.00043975373790677	0.00041442188147534	0.0	0.0	0.0	0.0	0.00010473491210569	7.516070073633629e-05	0.0	0.0	0.0
