#OTU ID	mgm4739174	mgm4739175	mgm4739176	mgm4739177	mgm4739178	mgm4739179	mgm4739181	mgm4739182	mgm4739183	mgm4739184	mgm4739185	mgm4739186	mgm4739187	mgm4739188	mgm4739189
Candidatus Levybacteria	0.00035506635302472004	3.85514120387355e-05	4.18801390420616e-05	0.0038392343032408703	4.68423253868674e-05	4.07831622009104e-05	2.78012476716455e-05	0.00016620527390108999	0.018966985768205002	3.05862777723402e-05	4.0293577805094605e-05	1.16505306816725e-05	0.014519374667616002	1.1448950560569198e-05	8.443575237960491e-05
Candidatus Daviesbacteria	0.0010756421871043	1.92757060193677e-05	0.00025128083425237003	0.0123728569229604	0.00017733166039314	1.5685831615734802e-05	8.46124929137037e-06	6.92521974587906e-05	0.007698859581222209	1.37638249975531e-05	2.2251677295350698e-05	3.49515920450177e-05	0.0027391892138910697	2.86223764014231e-06	2.9666615700942304e-05
Candidatus Curtissbacteria	6.526955018836789e-05	1.49231272408008e-05	0.0	0.00126155577762412	1.67294019238812e-05	7.32005475400956e-06	7.25249939260318e-06	3.8954361070569704e-05	0.00231768550822839	1.37638249975531e-05	4.81117346926502e-06	2.3301061363345103e-05	0.00120306584140509	1.1448950560569198e-05	1.14102368080547e-05
Candidatus Shapirobacteria	4.43832941280902e-05	1.80321120826343e-05	0.0	0.0005489274332593	1.67294019238812e-05	1.4640109508019101e-05	1.32962488864392e-05	5.8864367839971994e-05	0.00077078891231622	3.05862777723402e-06	9.02095025487191e-06	2.9126326704181397e-05	0.00025289006971396	8.58671292042693e-06	2.7384568339331303e-05
Candidatus Beckwithbacteria	4.96048581431596e-05	1.43013302724341e-05	0.0	0.00039418527848293996	3.34588038477624e-06	1.04572210771565e-05	5.439374544452381e-06	2.77008789835162e-05	0.00052315681692071	4.58794166585103e-06	4.2097767856068905e-06	5.8252653408362705e-06	0.00015258003011416	1.43111882007116e-06	1.67350139851469e-05
Candidatus Amesbacteria	9.398815227124979e-05	1.18141423989673e-05	1.39600463473539e-05	0.0007908138541465599	2.34211626934337e-05	1.25486652925878e-05	4.23062464568519e-06	2.9432183919985997e-05	0.0005305165120635901	0.0	6.01396683658128e-06	2.9126326704181397e-05	0.00014175339431398	1.43111882007116e-06	1.5213649077406303e-05
Candidatus Chisholmbacteria	1.8275474052743e-05	4.97437574693361e-06	0.0	0.00013112361536312	3.34588038477624e-06	0.0	4.23062464568519e-06	6.059567277644181e-06	0.00022338839374839	0.0	3.6083801019487703e-06	0.0	5.79099124195663e-05	4.2933564602134695e-06	6.08545963096251e-06
Candidatus Collierbacteria	2.34970380678125e-05	8.08336058876711e-06	0.0	0.00042757700661889	1.0037641154328699e-05	1.04572210771565e-06	1.81312484815079e-06	2.8566531451751097e-05	0.00054826636505522	4.58794166585103e-06	6.01396683658128e-06	0.0	0.00026875235007237	1.43111882007116e-06	1.4452966623535998e-05
Candidatus Woykebacteria	2.8718602082881898e-05	4.1038599912202294e-05	4.18801390420616e-05	0.00023618539413234	0.0	1.8822997938881698e-05	7.25249939260318e-06	2.42382691105767e-05	0.00039544446002968	1.52931388861701e-05	1.0223743622188198e-05	0.00015728216420257	0.0001255386188365	1.1448950560569198e-05	1.4452966623535998e-05
Candidatus Pacebacteria	3.39401660979513e-05	1.30577363357007e-05	8.37602780841232e-05	0.00028993793210727996	0.0	7.32005475400956e-06	2.41749979753439e-06	3.28947937929255e-05	0.00044121063150637	1.07051972203191e-05	1.0223743622188198e-05	0.0	0.00012785501533328002	5.72447528028462e-06	1.3692284169665699e-05
Candidatus Blackburnbacteria	6.78803321959026e-05	1.8653909051001e-06	0.0	0.00042757700661889	1.0037641154328699e-05	1.04572210771565e-06	2.41749979753439e-06	1.38504394917581e-05	0.00030119088525876	1.52931388861701e-06	1.20279336731626e-06	0.0	0.00014356622635494	4.2933564602134695e-06	3.80341226935157e-06
