#OTU ID	Pseudomonadota	Actinomycetota	Chloroflexota	Bacillota	Cyanobacteriota	Candidatus.Melainabacteria	Deinococcota	Armatimonadota	Mycoplasmatota	Thermomicrobiota	Candidatus.Kaiserbacteria	Candidatus.Nomurabacteria	Candidatus.Yanofskybacteria	Candidatus.Azambacteria	Candidatus.Falkowbacteria	Candidatus.Magasanikbacteria	Candidatus.Nealsonbacteria	Candidatus.Uhrbacteria	Candidatus.Moranbacteria	Candidatus.Zambryskibacteria	Candidatus.Staskawiczbacteria	Candidatus.Wolfebacteria	Candidatus.Buchananbacteria	Candidatus.Portnoybacteria	Candidatus.Adlerbacteria	Candidatus.Liptonbacteria	Candidatus.Ryanbacteria	Candidatus.Wildermuthbacteria	Candidatus.Komeilibacteria	Candidatus.Kerfeldbacteria	Candidatus.Terrybacteria	Candidatus.Yonathbacteria	Candidatus.Colwellbacteria	Candidatus.Woesebacteria	Candidatus.Gottesmanbacteria	Candidatus.Roizmanbacteria	Candidatus.Levybacteria	Candidatus.Daviesbacteria	Candidatus.Curtissbacteria	Candidatus.Beckwithbacteria	Candidatus.Amesbacteria	Candidatus.Collierbacteria	Candidatus.Gracilibacteria	candidate.division.NC10	Candidatus.Rokubacteria	Candidatus.Handelsmanbacteria	Candidatus.Schekmanbacteria	Candidatus.Aminicenantes	Candidatus.Glassbacteria	candidate.division.WWE3	Candidatus.Peregrinibacteria	Candidatus.Doudnabacteria	Candidatus.Berkelbacteria	Candidatus.Saccharibacteria	Candidatus.Eisenbacteria	Candidatus.Lindowbacteria	Candidatus.Ratteibacteria	Candidatus.Firestonebacteria	Candidatus.Wallbacteria	Candidatus.Blackallbacteria	Candidatus.Fischerbacteria	Candidatus.Absconditabacteria	Planctomycetota	Candidatus.Omnitrophica	Verrucomicrobiota	Lentisphaerota	Chlamydiota	Kiritimatiellota	Thermodesulfobacteriota	Nitrospirota	Campylobacterota	Bacteroidota	Ignavibacteriota	Chlorobiota	Gemmatimonadota	candidate.division.Zixibacteria	Fibrobacterota	Elusimicrobiota	Acidobacteriota	Myxococcota	Nitrospinota	Candidatus.Tectomicrobia	Spirochaetota	Bdellovibrionota	Synergistota	Caldisericota	Fusobacteriota	Thermotogota	Atribacterota	Aquificota	Deferribacterota	Nitrososphaerota	Candidatus.Bathyarchaeota	Thermoproteota	Euryarchaeota	Candidatus.Micrarchaeota	Candidatus.Diapherotrites	Candidatus.Thermoplasmatota	Candidatus.Heimdallarchaeota
Nitrospirota	-0.0006	0.0012	0.0002	0.0002	-0.0055	-0.0069	-0.0066	0.0008	0.0032	-0.0034	0.0035	-0.0010	-0.0032	-0.0014	-0.0059	0.0052	-0.0055	-0.0005	0.0020	-0.0018	0.0088	-0.0003	-0.0022	-0.0028	-0.0011	-0.0032	-0.0118	-0.0042	-0.0005	-0.0048	-0.0012	0.0046	0.0042	0.0033	0.0061	-0.0039	-0.0071	-0.0017	0.0032	-0.0046	-0.0048	-0.0022	0.0005	-0.0041	-0.0007	-0.0057	0.0029	-0.0020	0.0007	0.0040	-0.0037	-0.0043	-0.0027	0.0019	0.0029	0.0089	-0.0019	-0.0016	-0.0014	-0.0025	-0.0057	-0.0010	-0.0059	0.0022	-0.0078	-0.0010	-0.0061	-0.0073	0.0003	1.6004	0.0024	0.0004	-0.0011	-0.0072	-0.0067	-0.0017	0.0024	-0.0001	0.0001	-0.0030	0.0036	-0.0021	-0.0003	0.0005	-0.0019	0.0027	-0.0103	0.0011	-0.0025	-0.0027	-0.0033	-0.0008	0.0060	-0.0024	-0.0070	0.0018	0.0006	0.0008	-0.0067
Campylobacterota	-0.0005	0.0025	0.0006	0.0013	-0.0018	-0.0017	-0.0017	-0.0009	-0.0036	-0.0012	0.0028	0.0046	-0.0006	-0.0066	-0.0002	0.0034	0.0056	-0.0038	-0.0025	-0.0026	0.0056	0.0008	-0.0007	-0.0032	-0.0016	-0.0025	0.0038	-0.0019	-0.0017	-0.0106	0.0016	0.0010	-0.0043	-0.0042	-0.0009	-0.0045	-0.0049	-0.0047	-0.0070	-0.0056	0.0001	-0.0008	0.0007	-0.0038	-0.0023	-0.0058	-0.0066	-0.0036	0.0032	0.0012	-0.0079	-0.0120	-0.0050	-0.0079	0.0027	-0.0019	-0.0042	-0.0054	-0.0007	0.0014	-0.0042	0.0026	-0.0040	-0.0066	-0.0079	0.0011	0.0023	0.0006	-0.0046	0.0024	1.6114	-0.0038	-0.0015	-0.0064	-0.0025	-0.0043	0.0053	-0.0005	0.0012	-0.0037	-0.0086	-0.0011	0.0034	-0.0003	-0.0056	-0.0029	-0.0012	0.0009	-0.0061	-0.0063	-0.0006	-0.0077	-0.0075	-0.0008	0.0088	-0.0039	0.0028	-0.0012	0.0054
Bacteroidota	0.0019	-0.0026	0.0009	-0.0041	-0.0064	-0.0005	-0.0013	0.0020	-0.0001	-0.0073	-0.0007	0.0023	0.0007	-0.0010	-0.0073	-0.0025	0.0003	-0.0065	-0.0024	-0.0049	0.0001	-0.0039	-0.0043	-0.0035	-0.0065	-0.0033	-0.0057	-0.0047	-0.0039	-0.0014	-0.0003	-0.0065	-0.0014	-0.0011	-0.0048	0.0024	-0.0040	-0.0040	0.0040	0.0008	0.0016	-0.0074	-0.0022	0.0026	-0.0033	-0.0026	-0.0049	0.0009	-0.0000	-0.0032	-0.0028	-0.0020	-0.0023	-0.0042	-0.0065	-0.0006	0.0066	-0.0023	0.0020	-0.0000	0.0018	0.0017	-0.0029	-0.0029	-0.0054	-0.0077	-0.0025	-0.0002	0.0027	0.0004	-0.0038	1.5505	0.0001	-0.0062	0.0034	-0.0053	0.0027	-0.0057	-0.0010	-0.0036	0.0000	-0.0010	-0.0002	0.0124	-0.0041	-0.0019	0.0022	0.0025	-0.0021	-0.0064	-0.0035	-0.0065	-0.0034	0.0025	-0.0021	-0.0027	0.0015	0.0012	0.0010
Ignavibacteriota	0.0055	0.0026	-0.0052	-0.0020	0.0063	-0.0006	-0.0008	-0.0034	-0.0114	-0.0012	-0.0021	-0.0052	-0.0004	-0.0010	-0.0009	0.0023	-0.0019	-0.0069	-0.0019	-0.0104	-0.0098	0.0003	0.0001	-0.0147	-0.0027	-0.0041	-0.0043	0.0023	0.0023	-0.0002	0.0012	-0.0036	-0.0003	0.0006	-0.0070	0.0009	0.0035	-0.0063	-0.0040	0.0020	-0.0009	0.0028	0.0074	0.0000	0.0006	-0.0052	0.0038	-0.0037	0.0057	-0.0066	0.0056	-0.0017	-0.0027	-0.0021	-0.0015	0.0025	-0.0048	-0.0069	0.0000	-0.0037	-0.0047	-0.0002	-0.0051	0.0001	0.0013	-0.0033	0.0005	-0.0017	0.0050	-0.0011	-0.0015	0.0001	1.6070	-0.0035	-0.0051	0.0009	0.0014	0.0026	-0.0007	0.0016	0.0001	-0.0016	-0.0013	-0.0083	-0.0035	-0.0007	-0.0089	0.0031	0.0019	-0.0006	-0.0057	0.0045	0.0002	-0.0105	0.0031	-0.0112	-0.0044	-0.0023	-0.0066
Chlorobiota	-0.0107	-0.0005	0.0017	0.0034	-0.0025	-0.0020	0.0016	-0.0030	-0.0059	-0.0019	-0.0069	0.0020	-0.0092	-0.0009	-0.0039	-0.0045	-0.0024	-0.0002	-0.0073	-0.0021	-0.0056	-0.0035	0.0000	0.0037	-0.0022	-0.0001	0.0066	-0.0052	-0.0052	-0.0055	-0.0055	0.0054	0.0003	-0.0018	0.0004	-0.0057	-0.0004	-0.0080	-0.0071	-0.0115	0.0022	-0.0049	0.0003	0.0062	-0.0013	0.0049	0.0045	0.0014	0.0009	-0.0092	0.0034	-0.0053	0.0037	0.0026	-0.0025	-0.0045	-0.0026	0.0031	-0.0043	-0.0049	-0.0003	0.0009	0.0028	0.0042	-0.0022	-0.0043	-0.0032	-0.0036	-0.0050	-0.0072	-0.0064	-0.0062	-0.0035	1.6017	0.0021	0.0026	-0.0018	0.0011	0.0006	0.0009	-0.0068	0.0063	0.0060	0.0002	-0.0063	0.0046	0.0022	0.0003	-0.0096	0.0004	0.0005	0.0029	0.0006	-0.0124	-0.0042	0.0020	0.0022	-0.0037	-0.0126
Gemmatimonadota	0.0005	0.0000	0.0012	-0.0023	0.0021	-0.0088	0.0003	-0.0045	-0.0050	-0.0014	-0.0008	-0.0030	0.0026	-0.0033	-0.0023	-0.0114	0.0001	0.0005	0.0028	0.0001	0.0020	0.0028	-0.0004	0.0018	-0.0081	-0.0002	0.0054	0.0020	0.0041	0.0000	-0.0026	-0.0044	-0.0055	-0.0002	-0.0088	-0.0121	-0.0018	-0.0038	-0.0040	0.0018	-0.0020	0.0024	0.0003	-0.0069	-0.0009	0.0027	0.0046	-0.0038	-0.0036	-0.0033	-0.0029	-0.0039	0.0002	-0.0073	-0.0047	0.0011	0.0017	0.0014	-0.0016	-0.0090	0.0028	0.0036	-0.0078	0.0017	0.0031	-0.0005	0.0004	-0.0024	0.0053	-0.0067	-0.0025	0.0034	-0.0051	0.0021	1.5964	-0.0056	0.0036	0.0021	-0.0043	0.0020	-0.0027	0.0030	0.0032	-0.0015	-0.0023	0.0032	-0.0094	-0.0024	0.0001	-0.0023	0.0047	-0.0005	0.0016	-0.0023	-0.0065	0.0014	0.0022	-0.0002	0.0009
candidate.division.Zixibacteria	0.0006	0.0012	-0.0010	0.0074	-0.0045	-0.0062	0.0038	-0.0021	-0.0027	-0.0009	0.0006	-0.0033	-0.0097	0.0001	0.0024	0.0031	-0.0039	-0.0046	-0.0021	-0.0036	-0.0040	0.0030	0.0004	-0.0034	-0.0023	-0.0073	-0.0030	0.0010	-0.0021	-0.0035	-0.0047	-0.0026	0.0058	-0.0030	-0.0036	0.0056	0.0011	-0.0019	-0.0037	0.0023	0.0018	-0.0059	-0.0013	-0.0027	-0.0013	-0.0014	0.0010	-0.0030	0.0042	-0.0055	-0.0059	-0.0066	-0.0053	-0.0016	-0.0009	0.0041	0.0016	0.0040	0.0020	-0.0016	0.0012	0.0021	-0.0019	-0.0034	-0.0077	-0.0031	-0.0008	-0.0006	-0.0059	-0.0017	-0.0043	-0.0053	0.0009	0.0026	-0.0056	1.6103	-0.0031	-0.0067	-0.0010	-0.0035	-0.0071	-0.0046	-0.0014	-0.0071	0.0022	-0.0017	-0.0100	-0.0021	0.0005	0.0030	-0.0122	0.0008	0.0031	-0.0044	0.0003	-0.0013	0.0010	-0.0030	-0.0067
Fibrobacterota	-0.0003	0.0020	0.0019	-0.0076	0.0086	0.0011	-0.0056	0.0019	-0.0019	-0.0053	-0.0042	-0.0039	-0.0012	-0.0007	-0.0030	0.0068	-0.0042	0.0021	-0.0027	-0.0043	0.0003	0.0005	-0.0087	-0.0020	-0.0020	-0.0014	0.0007	-0.0012	-0.0001	0.0091	0.0009	-0.0028	-0.0104	-0.0053	0.0010	0.0008	0.0029	-0.0010	0.0011	-0.0060	0.0005	0.0022	-0.0024	-0.0007	-0.0075	-0.0028	-0.0077	-0.0039	0.0020	0.0022	-0.0013	-0.0011	-0.0073	-0.0001	-0.0038	0.0022	-0.0064	-0.0010	-0.0037	-0.0018	-0.0072	-0.0031	-0.0022	-0.0090	-0.0031	-0.0044	0.0004	-0.0041	-0.0080	0.0024	0.0053	0.0027	0.0014	-0.0018	0.0036	-0.0031	1.6035	-0.0004	-0.0035	0.0026	-0.0043	-0.0058	-0.0003	-0.0021	-0.0028	-0.0067	0.0020	-0.0032	0.0007	-0.0074	-0.0078	-0.0056	0.0007	-0.0011	-0.0065	0.0044	0.0034	-0.0000	0.0004
Elusimicrobiota	-0.0036	-0.0010	-0.0092	-0.0053	-0.0045	-0.0038	0.0058	-0.0046	0.0037	-0.0003	0.0025	0.0005	0.0014	-0.0060	-0.0048	-0.0052	0.0019	-0.0087	-0.0017	0.0010	-0.0021	0.0038	0.0017	0.0003	-0.0078	0.0028	-0.0057	-0.0054	-0.0040	-0.0098	0.0000	0.0056	-0.0034	-0.0013	-0.0051	0.0006	0.0030	0.0014	0.0052	-0.0046	-0.0035	-0.0018	0.0052	-0.0020	-0.0057	0.0024	-0.0041	-0.0040	0.0019	-0.0036	-0.0028	-0.0007	-0.0011	-0.0003	-0.0045	-0.0009	-0.0012	-0.0059	0.0050	0.0054	-0.0005	-0.0076	-0.0046	-0.0046	-0.0061	-0.0032	0.0008	-0.0074	-0.0045	-0.0001	-0.0005	-0.0057	0.0026	0.0011	0.0021	-0.0067	-0.0004	1.6072	-0.0046	-0.0019	0.0008	0.0005	-0.0009	0.0001	0.0005	-0.0023	-0.0045	0.0016	0.0000	0.0029	0.0030	-0.0016	-0.0003	-0.0065	-0.0022	-0.0006	0.0001	0.0039	0.0005
Acidobacteriota	-0.0049	0.0045	-0.0040	0.0030	0.0025	-0.0044	-0.0065	-0.0080	-0.0025	-0.0063	-0.0013	-0.0016	-0.0048	-0.0026	0.0027	0.0026	0.0007	-0.0037	0.0025	-0.0021	-0.0045	0.0025	-0.0026	-0.0001	0.0021	-0.0005	0.0013	-0.0021	-0.0034	-0.0000	-0.0036	0.0015	-0.0030	-0.0053	0.0017	-0.0073	-0.0009	-0.0026	-0.0026	0.0015	-0.0025	-0.0046	0.0054	-0.0014	-0.0057	0.0020	0.0045	-0.0107	-0.0007	-0.0032	-0.0016	-0.0068	0.0004	-0.0046	0.0013	-0.0065	-0.0013	0.0046	-0.0002	0.0018	-0.0047	0.0028	-0.0044	0.0004	0.0002	-0.0027	0.0016	-0.0025	0.0026	0.0001	0.0012	-0.0010	-0.0007	0.0006	-0.0043	-0.0010	-0.0035	-0.0046	1.6126	-0.0017	0.0030	0.0031	-0.0038	-0.0037	-0.0004	-0.0054	-0.0067	-0.0027	0.0047	0.0044	0.0022	-0.0050	-0.0070	0.0047	-0.0006	-0.0104	0.0032	-0.0073	0.0001
Myxococcota	-0.0043	-0.0007	-0.0043	-0.0051	-0.0027	0.0022	-0.0042	-0.0066	0.0008	-0.0037	-0.0034	0.0058	-0.0032	-0.0024	0.0023	-0.0031	-0.0033	-0.0011	0.0035	-0.0001	-0.0002	-0.0004	-0.0007	-0.0049	-0.0035	-0.0021	-0.0022	-0.0048	-0.0094	0.0036	-0.0016	0.0015	-0.0012	-0.0042	0.0021	-0.0060	0.0032	0.0014	0.0027	0.0002	0.0000	-0.0050	0.0008	-0.0056	0.0021	-0.0032	0.0031	0.0022	-0.0026	-0.0011	0.0002	-0.0014	-0.0004	-0.0028	-0.0002	-0.0006	0.0040	-0.0075	0.0028	0.0042	0.0011	-0.0039	-0.0034	-0.0057	-0.0005	-0.0006	-0.0012	-0.0024	-0.0024	-0.0030	-0.0037	-0.0036	0.0016	0.0009	0.0020	-0.0035	0.0026	-0.0019	-0.0017	1.6050	-0.0056	0.0028	-0.0052	0.0015	-0.0035	-0.0077	-0.0004	0.0010	0.0007	-0.0020	-0.0034	-0.0066	0.0065	-0.0010	-0.0034	-0.0110	-0.0036	-0.0001	0.0008
Nitrospinota	0.0010	-0.0026	-0.0052	-0.0001	-0.0054	0.0004	-0.0037	-0.0043	0.0014	-0.0024	0.0009	-0.0005	0.0018	0.0062	0.0007	-0.0032	-0.0007	0.0045	0.0001	-0.0009	0.0013	-0.0033	-0.0034	-0.0015	-0.0030	0.0009	-0.0104	-0.0022	-0.0039	-0.0047	0.0029	-0.0036	-0.0095	-0.0018	0.0037	-0.0042	0.0020	0.0079	0.0011	-0.0074	-0.0083	-0.0053	-0.0035	-0.0010	0.0048	-0.0026	-0.0042	0.0013	0.0043	-0.0017	0.0026	-0.0009	-0.0069	-0.0056	-0.0000	-0.0051	-0.0020	-0.0028	-0.0070	0.0009	0.0029	-0.0057	0.0012	0.0013	0.0023	0.0013	-0.0038	-0.0058	-0.0095	0.0036	-0.0086	0.0000	0.0001	-0.0068	-0.0027	-0.0071	-0.0043	0.0008	0.0030	-0.0056	1.6097	-0.0051	0.0037	-0.0019	-0.0024	0.0002	0.0015	-0.0003	-0.0032	0.0007	0.0001	-0.0048	0.0034	0.0100	0.0090	-0.0035	-0.0071	-0.0009	-0.0028
Candidatus.Tectomicrobia	-0.0005	0.0060	0.0050	0.0015	-0.0046	-0.0036	-0.0037	0.0001	-0.0062	0.0009	0.0020	0.0026	-0.0041	-0.0008	0.0054	-0.0073	-0.0072	0.0017	0.0007	0.0027	0.0017	0.0009	0.0003	-0.0011	-0.0014	-0.0000	-0.0103	-0.0013	-0.0009	-0.0006	0.0022	-0.0070	0.0017	0.0012	0.0005	0.0013	-0.0021	-0.0059	-0.0025	-0.0038	-0.0039	-0.0047	-0.0067	-0.0063	-0.0006	-0.0011	0.0011	0.0025	-0.0046	-0.0003	-0.0007	-0.0066	0.0046	0.0014	0.0014	0.0028	-0.0041	-0.0058	-0.0017	0.0013	-0.0089	-0.0003	-0.0080	0.0005	-0.0045	-0.0007	-0.0018	0.0039	-0.0054	-0.0021	-0.0011	-0.0010	-0.0016	0.0063	0.0030	-0.0046	-0.0058	0.0005	0.0031	0.0028	-0.0051	1.6036	-0.0040	-0.0005	-0.0001	-0.0043	-0.0004	-0.0089	-0.0018	-0.0009	0.0010	-0.0022	-0.0082	0.0023	0.0029	-0.0059	-0.0064	-0.0026	-0.0054
Spirochaetota	-0.0027	0.0008	0.0074	-0.0031	-0.0043	0.0033	0.0004	-0.0039	0.0011	-0.0013	0.0011	0.0001	0.0039	0.0028	0.0010	-0.0050	-0.0043	-0.0082	-0.0007	-0.0001	-0.0087	-0.0031	0.0033	-0.0063	-0.0025	-0.0073	-0.0056	0.0021	-0.0010	0.0049	-0.0017	-0.0010	-0.0019	-0.0014	0.0054	-0.0033	-0.0000	0.0007	-0.0021	-0.0018	0.0010	0.0010	-0.0011	-0.0006	0.0029	-0.0014	-0.0030	-0.0036	-0.0042	-0.0065	-0.0043	0.0040	0.0058	-0.0055	-0.0050	-0.0015	-0.0032	-0.0051	0.0026	-0.0002	0.0014	0.0009	-0.0038	-0.0055	-0.0042	-0.0038	-0.0098	-0.0063	-0.0063	-0.0003	0.0034	-0.0002	-0.0013	0.0060	0.0032	-0.0014	-0.0003	-0.0009	-0.0038	-0.0052	0.0037	-0.0040	1.6155	-0.0059	-0.0016	0.0033	-0.0094	0.0003	-0.0044	0.0011	0.0027	0.0033	-0.0004	-0.0012	0.0000	-0.0031	-0.0017	-0.0029	0.0045
Bdellovibrionota	0.0003	-0.0006	0.0015	-0.0071	0.0047	0.0018	-0.0024	0.0040	0.0015	-0.0049	-0.0038	-0.0081	0.0020	0.0019	-0.0045	-0.0024	-0.0054	-0.0063	-0.0099	0.0012	-0.0009	-0.0042	-0.0031	0.0001	0.0031	-0.0034	-0.0014	-0.0026	-0.0064	-0.0002	-0.0084	0.0012	-0.0052	0.0034	-0.0000	-0.0101	-0.0029	0.0008	0.0052	0.0062	-0.0021	-0.0029	-0.0029	-0.0058	-0.0085	0.0057	-0.0096	-0.0009	-0.0059	-0.0039	-0.0046	-0.0049	-0.0013	-0.0024	0.0017	-0.0004	-0.0017	-0.0008	-0.0084	-0.0014	-0.0072	-0.0079	0.0046	-0.0101	0.0018	-0.0009	-0.0059	-0.0009	-0.0042	0.0005	-0.0003	0.0124	-0.0083	0.0002	-0.0015	-0.0071	-0.0021	0.0001	-0.0037	0.0015	-0.0019	-0.0005	-0.0059	1.5969	-0.0053	0.0008	0.0035	0.0036	0.0016	-0.0029	-0.0042	0.0018	0.0000	-0.0029	-0.0012	0.0011	-0.0049	0.0009	-0.0033
Synergistota	-0.0035	0.0009	-0.0051	-0.0044	-0.0003	-0.0033	0.0043	-0.0041	-0.0010	0.0038	0.0037	0.0008	-0.0024	-0.0010	-0.0054	-0.0024	-0.0024	-0.0040	-0.0020	0.0028	-0.0073	-0.0051	-0.0006	-0.0030	-0.0100	-0.0021	-0.0060	0.0001	-0.0023	-0.0032	0.0000	-0.0001	-0.0051	-0.0060	0.0016	0.0025	-0.0038	-0.0010	-0.0036	0.0016	-0.0080	0.0087	-0.0017	-0.0035	-0.0044	0.0024	-0.0041	-0.0034	-0.0011	-0.0050	-0.0002	0.0028	0.0010	0.0049	-0.0016	-0.0023	-0.0046	0.0028	-0.0097	0.0011	-0.0018	0.0033	0.0011	0.0006	-0.0053	-0.0041	-0.0049	-0.0058	0.0010	-0.0019	-0.0056	-0.0041	-0.0035	-0.0063	-0.0023	0.0022	-0.0028	0.0005	-0.0004	-0.0035	-0.0024	-0.0001	-0.0016	-0.0053	1.5883	-0.0037	0.0022	-0.0043	0.0024	-0.0044	-0.0004	-0.0073	-0.0032	-0.0035	0.0042	-0.0054	0.0048	-0.0060	-0.0041
Caldisericota	-0.0021	-0.0026	-0.0047	-0.0036	-0.0051	0.0016	-0.0015	-0.0040	-0.0020	0.0040	0.0008	0.0065	-0.0067	-0.0024	-0.0069	-0.0030	-0.0020	-0.0009	-0.0042	-0.0027	0.0012	-0.0000	0.0017	-0.0051	-0.0031	-0.0016	0.0046	-0.0030	-0.0058	-0.0017	-0.0004	0.0030	-0.0051	-0.0044	-0.0069	-0.0022	-0.0003	-0.0009	-0.0006	0.0081	0.0054	0.0017	-0.0050	-0.0020	-0.0038	0.0056	-0.0065	0.0020	-0.0031	-0.0010	-0.0060	-0.0052	0.0007	-0.0028	-0.0016	0.0013	0.0049	-0.0009	-0.0035	-0.0029	-0.0007	-0.0003	-0.0045	0.0032	-0.0024	-0.0027	-0.0086	-0.0045	-0.0039	0.0027	-0.0029	-0.0019	-0.0007	0.0046	0.0032	-0.0017	-0.0067	-0.0023	-0.0054	-0.0077	0.0002	-0.0043	0.0033	0.0008	-0.0037	1.6047	-0.0003	-0.0001	0.0033	-0.0017	-0.0006	-0.0025	-0.0040	0.0013	0.0003	0.0097	-0.0124	-0.0041	-0.0035
Fusobacteriota	0.0010	-0.0048	-0.0034	-0.0039	-0.0050	-0.0040	-0.0059	-0.0024	-0.0039	-0.0058	-0.0106	0.0027	-0.0062	-0.0019	0.0001	-0.0006	-0.0056	-0.0091	-0.0009	-0.0018	-0.0012	-0.0023	-0.0005	-0.0038	0.0044	-0.0009	0.0007	-0.0018	-0.0004	0.0013	-0.0065	0.0018	-0.0058	-0.0023	-0.0044	0.0022	-0.0008	-0.0054	0.0019	0.0009	-0.0158	0.0061	0.0064	-0.0025	-0.0080	-0.0053	-0.0004	0.0007	-0.0020	-0.0030	-0.0016	-0.0043	0.0012	-0.0048	-0.0063	-0.0046	-0.0067	-0.0002	0.0018	0.0029	0.0014	-0.0033	-0.0001	-0.0067	-0.0008	-0.0059	0.0012	-0.0000	-0.0060	-0.0103	-0.0012	0.0022	-0.0089	0.0022	-0.0094	-0.0100	0.0020	-0.0045	-0.0067	-0.0004	0.0015	-0.0004	-0.0094	0.0035	0.0022	-0.0003	1.6138	-0.0067	0.0077	0.0086	-0.0029	-0.0013	0.0013	0.0067	0.0012	-0.0086	-0.0017	0.0076	0.0021
Thermotogota	-0.0069	0.0040	-0.0010	0.0026	0.0001	-0.0090	0.0004	-0.0032	-0.0055	0.0077	-0.0093	-0.0064	-0.0034	0.0036	-0.0036	-0.0048	0.0006	-0.0026	-0.0002	-0.0009	-0.0010	-0.0021	-0.0092	-0.0058	0.0007	0.0027	0.0023	-0.0029	0.0006	-0.0041	-0.0006	-0.0027	0.0041	-0.0014	-0.0010	-0.0096	-0.0025	0.0005	0.0017	0.0012	0.0013	-0.0006	0.0034	-0.0004	-0.0033	-0.0078	-0.0040	-0.0044	-0.0012	-0.0059	0.0038	0.0021	0.0031	-0.0025	-0.0034	-0.0014	0.0031	-0.0024	0.0015	-0.0021	-0.0014	0.0025	0.0098	-0.0040	-0.0083	0.0044	-0.0007	0.0012	0.0015	0.0011	0.0009	0.0025	0.0031	0.0003	-0.0024	-0.0021	-0.0032	0.0016	-0.0027	0.0010	-0.0003	-0.0089	0.0003	0.0036	-0.0043	-0.0001	-0.0067	1.5971	-0.0070	0.0012	0.0046	-0.0087	-0.0020	0.0029	-0.0085	0.0000	-0.0017	0.0004	-0.0023
Atribacterota	-0.0064	0.0026	0.0013	-0.0030	0.0041	-0.0058	-0.0067	-0.0093	0.0002	-0.0001	-0.0009	-0.0027	-0.0011	-0.0052	0.0009	-0.0004	-0.0054	-0.0004	0.0023	-0.0005	-0.0002	0.0044	-0.0041	0.0070	-0.0018	-0.0118	-0.0029	-0.0039	-0.0016	-0.0026	0.0041	0.0049	-0.0023	-0.0052	-0.0005	-0.0021	-0.0045	-0.0027	-0.0032	-0.0012	-0.0015	-0.0017	-0.0017	0.0011	-0.0058	-0.0124	-0.0001	-0.0020	-0.0044	-0.0018	0.0047	-0.0030	-0.0086	-0.0045	-0.0038	-0.0006	-0.0052	-0.0056	-0.0076	-0.0020	-0.0060	0.0005	-0.0035	-0.0006	0.0041	0.0054	-0.0037	0.0075	0.0019	-0.0025	-0.0061	-0.0021	0.0019	-0.0096	0.0001	0.0005	0.0007	0.0000	0.0047	0.0007	-0.0032	-0.0018	-0.0044	0.0016	0.0024	0.0033	0.0077	-0.0070	1.6171	-0.0036	-0.0016	-0.0002	-0.0052	-0.0057	-0.0040	-0.0032	0.0043	0.0006	0.0034
Aquificota	0.0026	0.0001	-0.0021	-0.0015	0.0032	-0.0006	-0.0093	0.0043	0.0007	0.0029	0.0002	0.0003	-0.0057	0.0007	-0.0032	0.0010	-0.0055	-0.0032	-0.0034	-0.0001	0.0022	-0.0013	-0.0053	-0.0010	-0.0017	-0.0001	0.0002	0.0011	0.0050	0.0012	0.0016	-0.0131	-0.0019	-0.0002	-0.0092	-0.0010	-0.0047	-0.0089	-0.0011	-0.0063	-0.0074	0.0036	0.0014	-0.0021	-0.0039	0.0027	-0.0021	-0.0011	0.0065	-0.0018	0.0002	0.0010	0.0009	-0.0020	-0.0070	-0.0021	-0.0056	-0.0045	0.0009	-0.0074	-0.0012	-0.0051	-0.0053	-0.0060	-0.0042	0.0007	-0.0003	-0.0074	-0.0010	-0.0027	-0.0063	-0.0064	-0.0006	0.0004	-0.0023	0.0030	-0.0074	0.0029	0.0044	-0.0020	0.0007	-0.0009	0.0011	-0.0029	-0.0044	-0.0017	0.0086	0.0012	-0.0036	1.6122	-0.0029	-0.0092	0.0022	-0.0017	0.0064	-0.0010	0.0021	-0.0017	-0.0029
Deferribacterota	0.0047	-0.0051	-0.0001	-0.0022	0.0025	0.0004	-0.0052	0.0014	-0.0023	0.0023	-0.0029	-0.0031	-0.0032	0.0001	-0.0023	-0.0071	0.0041	0.0008	-0.0008	-0.0007	-0.0020	-0.0039	-0.0015	-0.0005	-0.0000	-0.0036	-0.0039	0.0039	-0.0038	-0.0020	-0.0050	-0.0001	-0.0043	0.0010	-0.0005	-0.0042	0.0022	-0.0036	-0.0009	-0.0078	-0.0054	0.0035	-0.0011	-0.0057	0.0074	-0.0044	-0.0001	-0.0037	-0.0016	-0.0000	-0.0054	0.0034	-0.0002	-0.0048	0.0038	-0.0015	-0.0044	-0.0075	0.0025	0.0027	0.0045	0.0046	0.0011	-0.0044	-0.0004	-0.0054	-0.0024	-0.0033	0.0020	-0.0033	-0.0006	-0.0035	-0.0057	0.0005	0.0047	-0.0122	-0.0078	0.0030	0.0022	-0.0034	0.0001	0.0010	0.0027	-0.0042	-0.0004	-0.0006	-0.0029	0.0046	-0.0016	-0.0029	1.6066	-0.0028	-0.0052	-0.0005	-0.0078	-0.0106	-0.0079	-0.0072	0.0043
