#OTU ID	mgm4612269	mgm4624935	mgm4624936	mgm4624937	mgm4624938	mgm4624939	mgm4624940	mgm4624941	mgm4624942	mgm4624943	mgm4625757	mgm4625759	mgm4625760	mgm4625761	mgm4625762	mgm4625763	mgm4625764	mgm4625765	mgm4625766
Candidatus.Wildermuthbacteria	4.31888153307955e-05	3.10967835560209e-05	5.95518130549485e-06	1.96927924379677e-05	4.63951006773685e-05	8.79354729499493e-06	6.55892538566481e-06	5.03791027481801e-05	2.99463959512473e-05	2.05850688261776e-06	1.75997852826196e-05	5.95518130549485e-06	1.05635184363578e-05	3.08634647800385e-05	8.79354729499493e-06	2.28707271355623e-06	1.6128685404615e-05	1.11202750414694e-05	1.07902114223236e-06
Candidatus.Komeilibacteria	3.70189845692533e-05	4.49175762475857e-05	7.94024174065979e-06	2.95391886569516e-05	4.63951006773685e-05	2.41822550612361e-05	1.31178507713296e-05	0.0	2.99463959512473e-05	4.11701376523552e-06	2.19997316032744e-05	7.94024174065979e-06	2.56542590597261e-05	4.27340281569763e-05	2.41822550612361e-05	1.17620882411463e-05	1.7203931098256e-05	1.29736542150476e-05	3.23706342669708e-06
Candidatus.Kuenenbacteria	3.39340691884822e-05	4.14623780746945e-05	5.2934944937732e-06	1.96927924379677e-05	9.27902013547369e-05	3.2975802356231e-05	6.55892538566481e-06	0.0	0.0	2.05850688261776e-06	2.85996510842568e-05	5.2934944937732e-06	1.20725924986947e-05	4.03599154815888e-05	3.2975802356231e-05	2.45043505023882e-05	2.15049138728199e-05	1.29736542150476e-05	1.29482537067883e-06
Candidatus.Lloydbacteria	1.85094922846266e-05	1.03655945186736e-05	0.0	9.84639621898385e-06	0.0	1.09919341187437e-05	6.55892538566481e-06	0.0	0.0	1.23510412957066e-05	8.79989264130978e-06	0.0	7.54537031168416e-06	3.08634647800385e-05	1.09919341187437e-05	4.90087010047764e-06	1.6128685404615e-05	1.85337917357823e-05	3.77657399781326e-06
Candidatus.Kerfeldbacteria	6.47832229961932e-05	6.56487652849329e-05	3.9701208703299e-06	3.93855848759354e-05	9.27902013547369e-05	3.51741891799797e-05	4.59124776996537e-05	5.03791027481801e-05	9.98213198374909e-05	6.17552064785329e-06	3.73995437255665e-05	3.9701208703299e-06	1.8108888748042e-05	4.74822535077515e-05	3.51741891799797e-05	2.28707271355623e-05	4.94613019074859e-05	7.96953044638637e-05	2.80545496980413e-06
Candidatus.Terrybacteria	1.54245769038555e-05	3.45519817289121e-06	3.30843405860825e-06	2.95391886569516e-05	0.0	1.09919341187437e-05	6.55892538566481e-06	2.518955137409e-05	0.0	6.17552064785329e-06	1.53998121222921e-05	3.30843405860825e-06	1.20725924986947e-05	1.89929014031006e-05	1.09919341187437e-05	2.28707271355623e-06	8.60196554912798e-06	5.56013752073468e-06	1.83433594179501e-06
Candidatus.Yonathbacteria	1.23396615230844e-05	1.03655945186736e-05	3.9701208703299e-06	0.0	0.0	2.19838682374873e-06	0.0	5.03791027481801e-05	0.0	4.11701376523552e-06	8.79989264130978e-06	3.9701208703299e-06	1.50907406233683e-06	2.37411267538757e-06	2.19838682374873e-06	2.28707271355623e-06	8.60196554912798e-06	0.0	1.18692325645559e-06
Candidatus.Niyogibacteria	4.93586460923377e-05	2.07311890373472e-05	3.9701208703299e-06	4.92319810949193e-05	0.0	6.5951604712462e-06	0.0	2.518955137409e-05	0.0	0.0	1.31998389619647e-05	3.9701208703299e-06	1.35816665610315e-05	9.4964507015503e-06	6.5951604712462e-06	1.96034804019106e-06	7.52671985548698e-06	5.56013752073468e-06	3.23706342669708e-07
Candidatus.Campbellbacteria	7.09530537577354e-05	6.21935671120417e-05	7.94024174065979e-06	6.8924773532887e-05	4.63951006773685e-05	4.17693496512259e-05	3.27946269283241e-05	7.55686541222701e-05	9.98213198374909e-06	4.11701376523552e-06	2.63996779239293e-05	7.94024174065979e-06	2.7163333122063e-05	3.3237577455426e-05	4.17693496512259e-05	1.1108638894416e-05	2.79563880346659e-05	1.29736542150476e-05	3.23706342669708e-06
Candidatus.Colwellbacteria	1.85094922846266e-05	6.91039634578241e-06	6.61686811721649e-07	9.84639621898385e-06	4.63951006773685e-05	0.0	0.0	5.03791027481801e-05	0.0	0.0	6.59991948098233e-06	6.61686811721649e-07	4.52722218701049e-06	2.37411267538757e-06	0.0	1.63362336682588e-06	2.15049138728199e-06	1.85337917357823e-06	1.07902114223236e-07
