#OTU ID	ERR2136696	ERR2136697	SRR1633224
Synergistota	0.0001144688644688	7.06264566706688e-05	0.0003037323155279
Caldisericota	0.0	5.29698425030016e-05	5.96412467810575e-05
Fusobacteriota	0.001519314019314	0.0017303481884313	8.24194856646704e-05
Thermotogota	0.0003017815517815	4.4141535419168e-05	0.000245034546097
Atribacterota	0.0005411255411255	0.0004590719683593	0.0002692953922453
Chrysiogenota	0.0	0.0	2.92477978564734e-05
Aquificota	0.0	0.0003089907479341	0.0002417997666106
Calditrichota	0.0	1.76566141676672e-05	1.11869457239046e-05
Deferribacterota	0.0001144688644688	0.0001147679920898	0.0001087694602312
Dictyoglomota	0.0	0.0	2.88434504206696e-05
Coprothermobacterota	2.08125208125208e-05	0.0	3.03934489245841e-05
Nitrososphaerota	0.0006139693639693	0.000635638110036	0.0001289868320214
Candidatus.Bathyarchaeota	2.08125208125208e-05	6.17981495868352e-05	1.53652025605436e-05
Thermoproteota	0.0002081252081252	0.0002295359841796	0.000197051983715
Candidatus.Korarchaeota	1.04062604062604e-05	1.76566141676672e-05	3.50434444363275e-06
Euryarchaeota	0.0095633533133533	0.0089342467688396	0.0053254579032536
Candidatus.Woesearchaeota	0.0001352813852813	0.0001147679920898	3.05282314031853e-05
Nanoarchaeota	4.16250416250416e-05	8.8283070838336e-05	2.14304140976003e-05
Candidatus.Micrarchaeota	2.08125208125208e-05	2.64849212515008e-05	6.87390640866425e-05
Candidatus.Diapherotrites	0.0	0.0	9.43477350208818e-07
Candidatus.Altiarchaeota	0.0	0.0	7.81738375887307e-06
Candidatus.Aenigmarchaeota	0.0	0.0	1.3478247860126e-07
Candidatus.Huberarchaea	0.0	0.0	2.0217371790189e-07
Candidatus.Thermoplasmatota	0.0012279387279387	0.0007239211808743	8.29586155790754e-05
Candidatus.Heimdallarchaeota	0.0007180319680319	0.0	1.61738974321512e-06
Candidatus.Lokiarchaeota	0.0005307192807192	0.0003972738187725	9.03042606628441e-06
Candidatus.Odinarchaeota	0.0	8.8283070838336e-06	1.05804245701989e-05
Candidatus.Thorarchaeota	0.0	0.0	6.19999401565795e-06
