#OTU ID	mgm4518019	mgm4533948	mgm4533949	mgm4533950	mgm4543715	mgm4543716	mgm4543717	mgm4553173	mgm4553174	mgm4553178	mgm4553179	mgm4553184	mgm4553185	mgm4553189	mgm4553190	mgm4553191	mgm4518020	mgm4533951	mgm4533952	mgm4533953	mgm4543718	mgm4543719	mgm4543720	mgm4553180	mgm4553181	mgm4553183	mgm4553186	mgm4553187	mgm4553188	mgm4553192	mgm4553193	mgm4553194	mgm4518021
Thermodesulfobacteriota	0.0015102629230452401	0.0024764055819956397	0.0018120613591854102	0.00239098351870326	0.00295050431527503	0.0038810224068403	0.00416565418127538	0.00215318363580437	0.00236686390532544	0.00443458980044346	0.00182333873581848	0.0013018411753766	0.0028409090909090897	0.0015015015015015	0.0045968882602546	0.00340136054421769	0.0011502300460092	0.00221065559389438	0.00281363260634577	0.00253380297693444	0.0019026891774778897	0.00396839583854707	0.0022888283378746602	0.00413971539456662	0.0032580870374680003	0.010515938218863001	0.00202663578459757	0.00304022450888681	0.00264579428949399	0.00161264312207708	0.00407569141193595	0.00172536283365472	0.0039738275495872
Nitrospirota	0.00013729662936774	0.0006695168185851401	0.00042513747273196	0.00066782643108608	0.00066288863470936	0.00142506291501167	0.00124969625438262	0.00051266277042961	0.00019723865877711998	0.00022172949002217002	0.00020259319286872	0.00027896596615212	0.00107758620689655	0.00075075075075075	0.0017680339462517699	0.00113378684807256	0.0003500700140028	0.0007017954266331299	0.00081070770013352	0.0009885240313600699	0.00047567229436947	0.00284222945193236	0.00061035422343324	0.00103492884864166	0.00139632301605771	0.00032862306933946	0.00028951939779965	0.00035079513564077996	0.00066144857237349	8.06321561038542e-05	0.0037845705967976704	0.00060895158834872	0.00041108560857798
Campylobacterota	0.0	0.00037105751391465	0.00039029013890147003	0.00032979083016596	0.00276853488613913	0.00148570389011855	0.0013538376089145	0.00020506510817184	0.0	0.0	0.0	0.0006509205876883	0.0	0.00112612612612613	0.00141442715700141	0.0015117157974300801	0.0	0.00037429089420433	0.00060405671774655	0.00045449380752187	0.00018896570598238998	0.0009831611311715699	0.00023978201634877	0.0	0.00023272050267627998	0.0	0.0	0.00070159027128157	0.00055120714364458	0.0001612643122077	0.00116448326055313	0.0002029838627829	3.4257134048165506e-05
Bacteroidota	0.0296560719434338	0.0411631846414455	0.0757650732142484	0.0319072628185573	0.22319850265155497	0.159394803068433	0.132224806470649	0.0371167845791039	0.16094674556213	0.202439024390244	0.070097244732577	0.0663009112888228	0.0281152037617555	0.21321321321321302	0.14851485148514904	0.119425547996977	0.0306561312262452	0.0386221416457103	0.0833280345901952	0.0414384729008067	0.0205777137756	0.125093847198885	0.0399782016348774	0.0998706338939198	0.0588782871771003	0.137693066053237	0.0322331596216947	0.0741347053320861	0.0325212214750303	0.0198355104015481	0.114992721979622	0.0331878615650056	0.00441917029221335
Ignavibacteriota	0.0	0.00021779462773251	0.00021605346974903	0.00019787449809958	0.0005719039201414099	0.00042448682574815	0.0004512792029715	0.00010253255408592	0.0	0.00022172949002217002	0.0	0.0	0.0	0.00112612612612613	0.00035360678925035	0.0	5.00100020004001e-05	0.00019884203754605	0.0002702359000445	0.00029542097488921	0.00010425694123166	0.00075077759107647	0.00018528610354223	0.0	0.0	0.0	0.00019301293186643	0.00011693171188026	0.00011024142872891002	0.0	0.00116448326055313	0.00010149193139145	0.0
Chlorobiota	6.86483146838745e-05	0.0002581269662015	0.00015332826885415	0.00013191633206638	0.0002859519600707	0.00027288438798095	0.00034713784843961	0.00020506510817184	0.0	0.0	0.0	0.00027896596615212	0.00029388714733542	0.0	0.0	0.0007558578987150401	0.0	0.00011696590443885	0.00021459909709416002	0.00026133393932507	9.12248235777073e-05	0.00046476708019019004	0.00021798365122615	0.0	0.0	0.0	0.0	0.00035079513564077996	0.00033072428618674	8.06321561038542e-05	0.0	0.0002029838627829	0.0
Balneolota	0.0	0.0	2.09084002982932e-05	2.47343122624475e-05	1.29978163668504e-05	9.096146266031959e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035360678925035	0.0	0.0	1.16965904438856e-05	7.948114707191451e-06	1.13623451880468e-05	1.9548176480937303e-05	1.78756569303922e-05	4.35967302452316e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029112081513827997	0.00010149193139145	0.0
Gemmatimonadota	6.86483146838745e-05	0.00163749294184077	0.0012196566840671	0.00228380149889932	0.00062389518560881	0.00103089657681696	0.00121498246953865	0.00112785809494515	0.00019723865877711998	0.00155210643015521	0.00020259319286872	0.0013018411753766	0.0016653605015674	0.00075075075075075	0.00106082036775106	0.0018896447467876	0.0003500700140028	0.00188315106146558	0.0017724295797036898	0.00285194864219975	0.0019743658245746603	0.0018054413499696102	0.00174386920980926	0.00103492884864166	0.00302536653479172	0.00328623069339468	0.00173711638679792	0.00140318054256314	0.00275603571822291	0.00153201096597323	0.00203784570596798	0.001116411245306	0.00044534274262615
candidate division Zixibacteria	0.0	3.22658707751875e-05	2.78778670643909e-05	1.64895415082984e-05	0.00046792138920660997	9.096146266031959e-05	3.47137848439615e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8482952219428e-05	7.153303236472309e-05	1.13623451880468e-05	2.6064235307916398e-05	7.15026277215688e-05	1.08991825613079e-05	0.0	0.0	0.0	0.0	0.00011693171188026	0.0	8.06321561038542e-05	0.0	0.0	0.0
Candidatus Marinimicrobia	0.0	8.06646769379689e-06	1.3938933532195498e-05	2.47343122624475e-05	6.498908183425179e-05	0.00015160243776719	0.0	0.0	0.0	0.0	0.0	9.29886553840431e-05	9.796238244514109e-05	0.00037537537537537	0.0	0.0	5.00100020004001e-05	3.50897713316568e-05	3.1792458828765804e-05	3.40870355641404e-05	1.3032117653958199e-05	3.57513138607844e-05	5.44959128065395e-05	0.0	0.0	0.0	9.65064659332175e-05	0.0	0.0	0.0	0.00029112081513827997	0.0	0.0
Candidatus Hydrogenedentes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023979993833715
