source,target,type,weight,a,b,c,signal
15,89,Undirected,0.00170000,1,7,53,pos
15,90,Undirected,-0.00490000,2,28,31,neg
15,91,Undirected,-0.00430000,1,23,37,neg
15,92,Undirected,-0.00150000,1,5,55,neg
15,93,Undirected,-0.00420000,0,7,54,neg
15,94,Undirected,0.00070000,0,15,46,pos
15,95,Undirected,-0.00310000,2,23,36,neg
15,96,Undirected,0.00390000,2,59,0,pos
15,97,Undirected,-0.00350000,2,37,22,neg
15,98,Undirected,-0.00280000,1,11,49,neg
15,99,Undirected,0.00010000,1,25,35,pos
15,100,Undirected,0.00030000,0,3,58,pos
15,101,Undirected,0.00080000,2,25,34,pos
15,102,Undirected,0.00460000,1,8,52,pos
15,103,Undirected,-0.00280000,1,13,47,neg
15,104,Undirected,-0.00130000,0,3,58,neg
15,105,Undirected,-0.00250000,0,7,54,neg
15,106,Undirected,-0.00190000,0,3,58,neg
16,17,Undirected,-0.00520000,0,4,57,neg
16,18,Undirected,-0.00360000,0,5,56,neg
16,19,Undirected,-0.00370000,3,3,55,neg
16,20,Undirected,-0.00070000,1,2,58,neg
16,21,Undirected,0.00260000,0,4,57,pos
16,22,Undirected,0.00280000,1,3,57,pos
16,23,Undirected,-0.00630000,2,8,51,neg
16,24,Undirected,0.00370000,2,3,56,pos
16,25,Undirected,-0.00390000,1,3,57,neg
16,26,Undirected,-0.00330000,1,2,58,neg
16,27,Undirected,-0.00130000,0,5,56,neg
16,28,Undirected,-0.00800000,0,4,57,neg
16,29,Undirected,-0.00510000,1,3,57,neg
16,30,Undirected,-0.00260000,2,2,57,neg
16,31,Undirected,-0.00110000,2,4,55,neg
16,32,Undirected,-0.00150000,1,2,58,neg
16,33,Undirected,-0.00280000,0,4,57,neg
16,34,Undirected,-0.00260000,0,4,57,neg
16,35,Undirected,0.00120000,1,5,55,pos
16,36,Undirected,0.00070000,0,5,56,pos
16,37,Undirected,-0.00240000,1,2,58,neg
16,38,Undirected,-0.00160000,2,5,54,neg
16,39,Undirected,-0.00050000,0,5,56,neg
16,40,Undirected,-0.00610000,0,5,56,neg
16,41,Undirected,-0.00460000,2,6,53,neg
16,42,Undirected,0.00090000,0,5,56,pos
16,43,Undirected,-0.00760000,2,8,51,neg
16,44,Undirected,-0.00640000,0,5,56,neg
16,45,Undirected,-0.00060000,0,5,56,neg
16,46,Undirected,0.00160000,2,4,55,pos
16,47,Undirected,0.00160000,0,4,57,pos
16,48,Undirected,0.00030000,0,4,57,pos
16,49,Undirected,-0.00280000,0,8,53,neg
16,50,Undirected,-0.00740000,0,8,53,neg
16,51,Undirected,-0.00910000,1,8,52,neg
16,52,Undirected,-0.00230000,2,7,52,neg
16,53,Undirected,-0.00770000,0,4,57,neg
16,54,Undirected,-0.00170000,0,5,56,neg
16,55,Undirected,-0.00320000,2,6,53,neg
16,56,Undirected,-0.00030000,1,3,57,neg
16,57,Undirected,-0.00080000,0,4,57,neg
16,58,Undirected,0.00070000,3,11,47,pos
16,59,Undirected,-0.00200000,1,9,51,neg
16,60,Undirected,-0.00330000,1,3,57,neg
16,61,Undirected,0.00210000,3,20,38,pos
16,62,Undirected,-0.00700000,1,5,55,neg
16,63,Undirected,0.00370000,3,0,58,pos
16,64,Undirected,-0.00330000,0,4,57,neg
16,65,Undirected,-0.00520000,1,3,57,neg
16,66,Undirected,-0.00110000,0,5,56,neg
16,67,Undirected,-0.00440000,0,4,57,neg
16,68,Undirected,-0.00720000,1,6,54,neg
16,69,Undirected,0.00240000,0,4,57,pos
16,70,Undirected,-0.00290000,2,6,53,neg
16,71,Undirected,-0.00350000,0,4,57,neg
16,72,Undirected,0.00240000,0,4,57,pos
16,73,Undirected,-0.00320000,0,6,55,neg
16,74,Undirected,0.00110000,1,3,57,pos
16,75,Undirected,-0.00210000,1,11,49,neg
16,76,Undirected,-0.00110000,1,9,51,neg
16,77,Undirected,0.00720000,3,20,38,pos
16,78,Undirected,-0.00100000,0,5,56,neg
16,79,Undirected,-0.00420000,3,36,22,neg
16,80,Undirected,0.00360000,2,4,55,pos
16,81,Undirected,-0.00140000,2,16,43,neg
16,82,Undirected,-0.00290000,3,11,47,neg
16,83,Undirected,-0.00490000,3,33,25,neg
16,84,Undirected,-0.00140000,0,4,57,neg
16,85,Undirected,-0.00460000,3,32,26,neg
16,86,Undirected,-0.00410000,1,16,44,neg
