#OTU ID	mgm4653312	mgm4653313	mgm4653314	mgm4653315	mgm4653316	mgm4653317	mgm4718365	mgm4718366	mgm4718367
Candidatus.Lloydbacteria	6.35903088369332e-05	4.76822996491945e-05	2.47785417828161e-05	1.60392641185622e-05	3.13799325331451e-05	2.44182355383e-05	3.99271090696824e-05	6.90457105466637e-05	7.95347770436738e-05
Candidatus.Kerfeldbacteria	4.23935392246222e-05	2.04352712782262e-05	3.71678126742241e-05	5.88106351013949e-05	1.56899662665725e-05	8.1394118461e-06	4.51176332487411e-05	8.87077340798196e-05	7.67603080770341e-05
Candidatus.Terrybacteria	1.05983848061555e-05	1.36235141854841e-05	0.0	1.60392641185622e-05	1.56899662665725e-05	0.0	2.2758452169719e-05	3.33797143702414e-05	3.69929195551971e-05
Candidatus.Yonathbacteria	3.17951544184666e-05	6.81175709274207e-06	4.95570835656322e-05	1.60392641185622e-05	1.56899662665725e-05	3.25576473844e-05	3.6333669253411e-05	3.10934325640605e-05	4.02298000162769e-05
Candidatus.Niyogibacteria	2.11967696123111e-05	0.0	1.2389270891408e-05	2.13856854914163e-05	0.0	0.0	5.58979526975553e-06	1.46322035595579e-05	2.40453977108781e-05
Candidatus.Campbellbacteria	4.23935392246222e-05	1.36235141854841e-05	8.67248962398563e-05	2.67321068642704e-05	3.13799325331451e-05	1.62788236922e-05	4.11249223417729e-05	5.66997887932867e-05	4.57787379495565e-05
Candidatus.Colwellbacteria	0.0	2.72470283709683e-05	2.47785417828161e-05	2.67321068642704e-05	0.0	4.06970592305e-05	1.67693858092666e-05	1.64612290045026e-05	2.31205747219982e-05
Candidatus.Vogelbacteria	2.11967696123111e-05	3.40587854637104e-05	3.71678126742241e-05	2.13856854914163e-05	1.56899662665725e-05	2.44182355383e-05	2.43555365325063e-05	2.19483053393368e-05	6.15007287605152e-05
Candidatus.Spechtbacteria	2.11967696123111e-05	0.0	0.0	1.60392641185622e-05	0.0	1.62788236922e-05	1.91650123534475e-05	2.51490998679901e-05	3.23688046107975e-05
Candidatus.Brennerbacteria	0.0	0.0	0.0	0.0	1.56899662665725e-05	0.0	4.39198199766506e-06	3.65805088988947e-06	1.84964597775986e-06
Candidatus.Andersenbacteria	1.05983848061555e-05	1.36235141854841e-05	0.0	5.34642137285408e-06	1.56899662665725e-05	2.44182355383e-05	8.3846929046333e-06	1.50894599207941e-05	1.2947521844319e-05
Candidatus.Jacksonbacteria	0.0	6.81175709274207e-06	0.0	0.0	0.0	8.1394118461e-06	1.5970843627873e-06	2.28628180618092e-06	2.77446896663979e-06
Candidatus.Parcubacteria	1.05983848061555e-05	1.36235141854841e-05	0.0	5.34642137285408e-06	0.0	2.44182355383e-05	7.98542181393648e-06	7.77335814101512e-06	5.54893793327957e-06
Candidatus.Veblenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	3.99271090696824e-07	2.7435381674171e-06	2.77446896663979e-06
Candidatus.Woesebacteria	0.0001165822328677	0.000156670413133	0.0001486712506968	0.0001015820060842	0.0001568996626657	0.0001058123539993	0.0001517230144647	0.0001714711354635	0.0002219575173311
Candidatus.Gottesmanbacteria	0.0002119676961231	0.0001498586560403	0.0001115034380226	0.0001978175907956	0.0002824193927983	0.0001546488250759	0.0001253711224788	0.0001906759026354	0.0002242695748033
Candidatus.Roizmanbacteria	0.0001483773872861	0.0001634821702258	0.0002106176051539	0.0001657390625584	0.0002039695614654	0.0001546488250759	0.0002367677567832	0.0002834989439664	0.0003953618277461
Candidatus.Levybacteria	0.0001059838480615	0.000129423384762	9.91141671312643e-05	9.62355847113734e-05	6.27598650662901e-05	0.0001220911776915	0.0001429390504694	0.0001636977773225	0.000215483756409
Candidatus.Daviesbacteria	0.0001059838480615	8.17410851129049e-05	3.71678126742241e-05	6.4157056474249e-05	7.84498313328626e-05	0.0001139517658454	8.70410977719076e-05	0.0001230019611725	0.0001530582046596
Candidatus.Curtissbacteria	5.29919240307777e-05	5.44940567419366e-05	6.19463544570402e-05	5.88106351013949e-05	9.41397975994352e-05	5.69758829227e-05	0.0001038104835811	0.0001024254249169	0.0001465844437374
Candidatus.Shapirobacteria	3.17951544184666e-05	4.08705425564524e-05	3.71678126742241e-05	4.81177923556867e-05	9.41397975994352e-05	2.44182355383e-05	5.50994105161617e-05	9.83101176657794e-05	0.00010727946671
Candidatus.Beckwithbacteria	3.17951544184666e-05	2.04352712782262e-05	2.47785417828161e-05	2.13856854914163e-05	1.56899662665725e-05	3.25576473844e-05	3.79307536161983e-05	5.34989942646335e-05	4.62411494439964e-05
Candidatus.Amesbacteria	3.17951544184666e-05	2.04352712782262e-05	0.0	2.13856854914163e-05	0.0	2.44182355383e-05	1.95642834441444e-05	4.38966106786736e-05	3.23688046107975e-05
Candidatus.Chisholmbacteria	3.17951544184666e-05	1.36235141854841e-05	0.0	0.0	3.13799325331451e-05	1.62788236922e-05	1.19781327209047e-05	2.42345871455177e-05	1.94212827664785e-05
Candidatus.Collierbacteria	3.17951544184666e-05	2.04352712782262e-05	3.71678126742241e-05	1.60392641185622e-05	1.56899662665725e-05	3.25576473844e-05	3.79307536161983e-05	4.38966106786736e-05	6.75120781882348e-05
Candidatus.Woykebacteria	1.05983848061555e-05	1.36235141854841e-05	3.71678126742241e-05	3.74249496099786e-05	1.56899662665725e-05	2.44182355383e-05	3.99271090696824e-05	4.29820979562012e-05	7.25986046270744e-05
Candidatus.Pacebacteria	3.17951544184666e-05	4.76822996491945e-05	6.19463544570402e-05	4.27713709828326e-05	1.56899662665725e-05	4.88364710766e-05	4.63154465208316e-05	7.36182741590255e-05	8.32340689991935e-05
Candidatus.Blackburnbacteria	0.0	6.81175709274207e-06	0.0	1.60392641185622e-05	1.56899662665725e-05	0.0	1.27766749022984e-05	9.14512722472367e-06	1.57219908109588e-05
Candidatus.Microgenomates	0.0	1.36235141854841e-05	0.0	1.06928427457082e-05	0.0	8.1394118461e-06	6.38833745114918e-06	1.0059639947196e-05	1.57219908109588e-05
Candidatus.Gracilibacteria	4.23935392246222e-05	5.44940567419366e-05	1.2389270891408e-05	1.60392641185622e-05	0.0	1.62788236922e-05	2.43555365325063e-05	1.69184853657388e-05	3.69929195551971e-05
candidate.division.NC10	9.53854632553999e-05	0.0001157998705766	0.0001734497924797	0.0001283141129484	7.84498313328626e-05	8.95335303071e-05	8.26491157742425e-05	0.0001806162626882	0.0001401106828153
Candidatus.Rokubacteria	0.0001695741568984	0.0002315997411532	0.0001858390633711	0.0001871247480498	0.0002510394602651	0.0002279035316908	0.0001904523102623	0.000526759328144	0.000307966055297
Candidatus.Handelsmanbacteria	1.05983848061555e-05	4.08705425564524e-05	6.19463544570402e-05	4.81177923556867e-05	9.41397975994352e-05	3.25576473844e-05	5.23045128812839e-05	0.0001353478829259	7.8147542560354e-05
Candidatus.Schekmanbacteria	3.17951544184666e-05	7.49293280201628e-05	7.43356253484482e-05	5.88106351013949e-05	4.70698987997176e-05	0.0001139517658454	6.74768143277632e-05	7.91053504938597e-05	9.57191793490726e-05
