#OTU ID	mgm4577669	mgm4577670	mgm4577671	mgm4577672	mgm4578714	mgm4578924	mgm4578925	mgm4578926	mgm4578927	mgm4698609	mgm4698612	mgm4698610	mgm4698611	mgm4670120	mgm4670123	mgm4670118	mgm4670121	mgm4670116	mgm4670122	mgm4670117	mgm4670119
Candidatus Rokubacteria	0.0021598603487555	0.0063791739871626	0.0043796788372277	0.0051739858481571	0.0040204602977704	0.0021872770428419	0.002044056683014	0.0064536401430919	0.0063622176721799	0.0173953500394174	0.0203371210820831	0.0111314795591581	0.0129026269377147	0.0017496895097588	0.0018060936443715	0.0042779456303009	0.0031066095663217	0.0031684035247749	0.0028990062442103	0.0056812723822641	0.0071810479340619
Candidatus Handelsmanbacteria	0.0002553259570066	0.0002348025012802	0.000187358626292	0.000239908751469	0.0001812079943663	0.0002255708653684	0.0002232638794808	0.0002334221903012	0.0002328931593809	0.0002843222146115	0.0003227024614645	0.0002871214965655	0.0003182559573537	0.0001912581782187	0.0001981287112232	0.0002474182151225	0.0002712851714602	0.0002184966783126	0.000256433001369	0.000302104008238	0.0002390481714755
Candidatus Schekmanbacteria	1.97247520434295e-05	1.26718810214729e-05	1.50433933519142e-05	1.52543136772257e-05	1.47323572655566e-05	1.39397725789466e-05	2.60113257647601e-05	2.07179458847253e-05	1.49969079904408e-05	3.87712110833969e-05	1.37320196367881e-05	1.10431344832917e-05	6.63033244486879e-06	1.24894659821875e-05	1.22624073421845e-05	2.05677733842729e-05	2.30659361362265e-05	1.50594633667797e-05	1.30219883507741e-05	2.87718103083828e-05	2.69695372946816e-05
Candidatus Aminicenantes	0.0005380474029624	0.0006089956937966	0.0005415621606689	0.0005949182334118	0.0004876410254899	0.0004904265443683	0.000486628552849	0.0005980580378724	0.0006131088854915	0.0009046615919459	0.0008239211782072	0.0004638116482982	0.0005900995875933	0.000387596817176	0.0004173760128691	0.0005309812672954	0.0004894442835616	0.0004593136326867	0.0004790310928353	0.0006677844360284	0.0005534884585703
Candidatus Glassbacteria	9.09530233113695e-05	7.97583099586822e-05	7.04304325112347e-05	7.90450799638057e-05	7.29251684645053e-05	7.35006190526277e-05	7.58663668138835e-05	7.94187925581138e-05	8.38062505348162e-05	6.46186851389948e-05	0.000123588176731	6.62588068997504e-05	7.95639893384254e-05	5.42974241428998e-05	5.51808330398303e-05	7.03236369388741e-05	6.42869961990313e-05	5.983447498408e-05	6.18822694276102e-05	9.79169673398188e-05	8.11129265605197e-05
candidate division WWE3	5.25993387824787e-05	6.11231908094574e-05	5.12842955178893e-05	4.71496968205157e-05	4.19872182068364e-05	5.1957334157892e-05	6.50283144119002e-05	5.73196502810735e-05	5.02837503208897e-05	5.16949481111958e-05	8.23921178207285e-05	6.62588068997504e-05	2.65213297794751e-05	3.76800838106673e-05	4.03069870969954e-05	5.53515077841461e-05	6.81561209702694e-05	4.71952825155328e-05	5.19766543573632e-05	8.46912158270944e-05	6.96713046779275e-05
Candidatus Peregrinibacteria	0.0002235471898255	0.0001893328105561	0.0001921451605403	0.0002003862114871	0.0001974135873584	0.000140664977842	0.0001788278646327	0.0001857709147663	0.0002205427645653	0.0003230934256949	0.0002677743829173	0.0001877332862159	0.000198909973346	9.93865131972377e-05	0.0001079773090964	0.0001780019799506	0.000149258928675	0.0001531493640603	0.0001431305728127	0.000280757181235	0.0002492639052993
Candidatus Doudnabacteria	5.80784365723203e-05	5.96323812775194e-05	6.49601076559932e-05	0.0001033133062684	6.92420791481162e-05	3.42158054210508e-05	5.74416777305118e-05	5.9391444869546e-05	7.14558557191591e-05	0.0001421611073057	9.61241374575166e-05	5.52156724164587e-05	2.65213297794751e-05	2.80483769938956e-05	2.91799878420502e-05	7.75828510744998e-05	5.05962470084969e-05	4.14135242586441e-05	4.10693478755183e-05	8.88677689363758e-05	9.13286603842628e-05
Candidatus Berkelbacteria	2.41080302753027e-05	2.53437620429458e-05	2.94029960969232e-05	2.56549820935159e-05	4.12506003435586e-05	1.52070246315781e-05	3.25141572059501e-05	3.1076918827088e-05	3.61690133887101e-05	3.87712110833969e-05	1.37320196367881e-05	1.10431344832917e-05	2.65213297794751e-05	2.33912879835884e-05	2.21404577011665e-05	3.25152299824902e-05	3.25899355731201e-05	2.46060874653632e-05	2.5932677655815e-05	4.96545758547896e-05	4.49492288244694e-05
Candidatus Gribaldobacteria	2.19163911593661e-06	0.0	2.73516242762076e-06	5.54702315535478e-06	2.94647145311133e-06	1.26725205263151e-06	3.25141572059501e-06	2.07179458847253e-06	2.64651317478367e-06	1.2923737027799e-05	6.86600981839404e-06	0.0	0.0	1.79932984489142e-06	1.36248970468717e-06	3.62960706781286e-06	2.08337487682046e-06	2.82364938127119e-06	2.00338282319601e-06	4.40858383757478e-06	5.31218158834638e-06
