#OTU ID	mgm4467058	mgm4493725	mgm4493726	mgm4493727	mgm4494621	mgm4494623	mgm4714040	mgm4714041	mgm4714042	mgm4714043	mgm4714044	mgm4714045	mgm4714046	mgm4714047	mgm4714048	mgm4714049	mgm4714050	mgm4714051	mgm4714052	mgm4714053	mgm4683415	mgm4683417	mgm4683416	mgm4779622	mgm4779367	mgm4779621	mgm4491635	mgm4491637	mgm4491641	mgm4467029	mgm4723071	mgm4723070	mgm4723474	mgm4605923	mgm4605924	mgm4605925	mgm4467059	mgm4491643	mgm4491646	mgm4491639	mgm4491642	mgm4491645
Thermomicrobiota	7.50364864915565e-06	0.0	0.0	0.0	0.000131593579716	0.0001266154512074	2.46908310389692e-05	8.22771079562971e-05	9.93853327747049e-06	7.88413307564293e-05	5.54395140726592e-05	3.27750505964844e-05	5.56924570791337e-05	2.58247550568098e-05	2.74395825410511e-05	4.15321768581143e-05	2.87388103700078e-05	7.35811127795083e-05	8.31817659600817e-05	8.51141316612932e-05	1.43801250983731e-05	1.29268875596927e-05	1.92499635263849e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.13665748815745e-05	3.24961816986504e-05	8.21270916743661e-05	0.0002308751355967	0.0	0.0	0.0	7.40165056807668e-06	0.0	0.0	0.0	0.0	0.0
Candidatus Kaiserbacteria	3.37664189212004e-05	0.0001684494230607	0.0001658099817609	0.0	0.0001158394187641	0.0001423196932176	6.77951631917461e-05	0.0001386956962691	7.60918954056335e-05	0.0001678633738928	0.0001215889342729	9.66001491264802e-05	0.0002122865422781	7.24015454271276e-05	7.24576476474631e-05	0.0001904211127645	8.75227406722966e-05	9.73464411306538e-05	0.0001797919784428	0.0001688591351993	2.35311137973378e-05	1.00768651055872e-05	1.66447053047689e-05	0.0	0.0	0.0	0.0	0.0	0.0005091649694501	1.13665748815745e-05	0.0017897896997102	0.0158915922389898	5.51723669624471e-05	0.0	0.0	0.0002346316283435	7.40165056807668e-06	0.0	0.0	0.0	0.0	0.0
Candidatus Nomurabacteria	2.2510945947467e-05	8.4224711530363e-05	0.0001658099817609	0.0	2.68747451532787e-05	3.04269688948042e-05	5.81699239731648e-05	6.7500811017207e-05	4.56551372433801e-05	0.0001134084006976	5.66995030288559e-05	5.43375838836451e-05	0.0001434899776509	4.70379467106179e-05	6.60264954894042e-05	0.0001245965305743	6.2702858989108e-05	5.46145526531133e-05	8.91499644146167e-05	0.0001001745410169	1.83019773979294e-05	4.58039322981238e-06	1.08552425900667e-05	0.0	0.0	0.0	0.0	0.0	0.0010183299389002	2.84164372039362e-06	0.0042994948093599	0.0290011292475105	9.84614548868287e-05	7.72618403770378e-05	0.0	0.0	7.40165056807668e-06	0.0	0.0	0.002116850127011	0.0	0.0
Candidatus Yanofskybacteria	1.12554729737335e-05	0.0	8.2904990880451e-05	0.0	2.13144530526004e-05	2.74824235178876e-05	4.01749115210347e-05	4.26497661651009e-05	3.26108123167001e-05	5.20873656649082e-05	4.50446051840356e-05	4.05375625798622e-05	9.3694368968425e-05	4.05817579464155e-05	4.28743477203924e-05	9.24678654576885e-05	3.52703581813732e-05	3.38198903458609e-05	4.69995628294632e-05	5.40805608678994e-05	1.00225114321995e-05	1.933943808143e-06	3.76315076455645e-06	0.0	0.0	0.0	0.0001921968095329	0.0001292991983449	0.0	2.2733149763149e-05	0.0003974532992373	0.002638332820039	1.44296959747939e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0008467400508044	0.0	0.0
Candidatus Azambacteria	1.12554729737335e-05	0.0	0.0	0.0	1.39007302516959e-05	1.66857571358603e-05	7.95128457187145e-06	8.39562326084664e-06	7.76447912302382e-06	1.04174731329816e-05	4.724958585738e-06	9.05626398060752e-06	1.50697236802362e-05	6.91734510450264e-06	4.28743477203924e-06	2.27251533751946e-05	6.96698433212311e-06	6.62687040560789e-06	1.60395333465628e-05	9.58389686266573e-06	6.82692807700542e-06	1.22143819461663e-06	2.17104851801333e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001549817896397	0.0011395133969818	8.91245927854915e-06	0.0	0.0	0.0	7.40165056807668e-06	0.0	0.0	0.0	0.0	0.0
Candidatus Falkowbacteria	3.00145945966226e-05	0.0	8.2904990880451e-05	0.0	3.89220447047485e-05	5.30018167844976e-05	6.1099344604907e-05	6.81724608780747e-05	4.96926663873525e-05	8.78382393712771e-05	4.28396245106912e-05	6.12375945355366e-05	0.0001271098432159	6.13337932599234e-05	5.53079085593062e-05	0.0001277310344881	5.53004381362272e-05	5.48430654257204e-05	8.72849023975745e-05	8.21476873942776e-05	3.7911238895711e-05	9.66971904071501e-06	2.4749953105352e-05	0.0	0.0	0.0	0.0001921968095329	0.0	0.0	2.84164372039362e-06	0.0005699330328686	0.0030284365054922	5.05039359117785e-05	0.0	0.0	0.0	5.18115539765368e-05	0.0	0.0	0.0008467400508044	0.0	0.0
Candidatus Magasanikbacteria	7.12846621669787e-05	8.4224711530363e-05	8.2904990880451e-05	0.0002383222116301	7.7844089409497e-05	8.24472705536629e-05	0.0001276390418116	0.0001645542159125	0.0001329278825861	0.0002050348121173	0.0001385987851816	0.0001207501864081	0.0002424259896385	0.0001309684006452	0.000136769169228	0.0002805381002868	0.0001428231788085	0.0001309378187039	0.0002025457350507	0.0002124430471224	4.88052730611452e-05	6.71791007039148e-06	1.28815545402124e-05	0.0001810938065918	0.0004770423375074	0.0	0.0	0.0	0.0025458248472505	8.52493116118087e-06	0.0008124045424662	0.0032953495534339	5.00795330889905e-05	0.0	0.0	0.0	2.96066022723067e-05	0.0	0.0	0.0004233700254022	0.0	0.0
Candidatus Nealsonbacteria	2.2510945947467e-05	0.0	8.2904990880451e-05	0.0002383222116301	1.85343070022612e-05	1.17781815076661e-05	3.05496723024535e-05	2.48510448521061e-05	2.88838623376486e-05	3.31465054231234e-05	1.92148315820012e-05	2.45812879473633e-05	4.52091710407086e-05	4.24263833076162e-05	3.55857086079257e-05	4.78011846857542e-05	3.1351429494554e-05	2.37653283511455e-05	3.17060542897172e-05	4.60939801490113e-05	9.15098869896472e-06	9.16078645962475e-07	5.35525301109956e-06	0.0001810938065918	0.0	0.0	0.0	0.0	0.0010183299389002	0.0	0.0003624574112541	0.0039523662868288	1.65517100887341e-05	0.0	0.0	0.0	6.66148551126901e-05	0.0	0.0	0.0008467400508044	0.0	0.0
Candidatus Uhrbacteria	3.75182432457783e-05	0.0003368988461214	0.0002487149726413	0.0002383222116301	8.61845275605145e-05	9.22624218100513e-05	8.53716869821988e-05	0.0001413822957126	5.55936705208506e-05	0.000149396035157	9.16641965633171e-05	0.0001134189250904	0.0001421795668961	9.36147370809357e-05	9.04648736900279e-05	0.0001473216839495	0.000104069328461	0.0001217973077996	0.000152562072994	0.0001524295977204	3.29726100740475e-05	1.46572583353996e-05	1.79473344155769e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003624574112541	0.002638332820039	3.81962540509249e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Giovannonibacteria	0.0	0.0	0.0	0.0	1.48274456018089e-05	1.07966663820273e-05	1.96689670988399e-05	2.08211456868997e-05	1.18020082669962e-05	3.12524193989449e-05	2.14198122553456e-05	3.19125492649979e-05	2.48978043412598e-05	1.75239409314067e-05	2.05796869057883e-05	3.91812989227494e-05	1.74174608303078e-05	1.94235856716093e-05	3.65552155340269e-05	3.4228203080949e-05	8.56997354347489e-06	5.08932581090264e-07	1.59210224654311e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.68328744078725e-06	0.0002699682787272	0.0022482291345857	7.21484798739693e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Moranbacteria	3.37664189212004e-05	8.4224711530363e-05	8.2904990880451e-05	0.0002383222116301	4.54090521555399e-05	3.82790898999149e-05	4.60337527845189e-05	6.61575112954715e-05	3.60271831308305e-05	0.0001238258738306	4.81945775745276e-05	6.2100095867023e-05	0.0001054880657616	5.53387608360211e-05	5.14492172644708e-05	0.0001261637825312	5.57358746569849e-05	6.96963956451864e-05	9.25070760452927e-05	8.71678238461502e-05	2.62909357859145e-05	2.54466290545132e-06	5.93419928256978e-06	0.0001810938065918	0.0	0.0	0.0	0.0010343935867597	0.0010183299389002	5.68328744078725e-06	0.0007074168785167	0.0031310953700852	2.75861834812236e-05	0.0	0.0	0.0	2.96066022723067e-05	0.0	0.0	0.0004233700254022	0.0	0.0
Candidatus Zambryskibacteria	7.50364864915565e-06	0.0	0.0	0.0	1.5754160951922e-05	1.17781815076661e-05	1.54840804820655e-05	2.11569706173335e-05	1.08702707722334e-05	4.23801747909935e-05	1.4174875757214e-05	2.24250346186472e-05	4.84851979277164e-05	1.89074099523072e-05	1.58635086565452e-05	3.36959170735645e-05	2.04655164756116e-05	2.19372261702882e-05	2.94679798692666e-05	3.90201515122819e-05	7.26268944362279e-06	1.933943808143e-06	1.59210224654311e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011498648908753	0.0054819833692639	1.90981270254625e-05	0.0	0.0	0.0	2.220495170423e-05	0.0	0.0	0.0008467400508044	0.0	0.0
