#OTU ID	mgm4546812	mgm4546813	mgm4728000	mgm4728002	mgm4728001	mgm4521707	mgm4521708	mgm4523023	mgm4523024	mgm4523025	mgm4523145	mgm4523146	mgm4523147	mgm4523148	mgm4523775	mgm4523776	mgm4523777	mgm4523779	mgm4530050	mgm4469340	mgm4469538	mgm4469540	mgm4470009	mgm4470010	mgm4470253	mgm4470254	mgm4470255	mgm4470315	mgm4470378	mgm4470381	mgm4470382
Candidatus Edwardsbacteria	6.21853634411803e-05	6.46729043743214e-05	5.1360301735188e-05	4.0613266827213596e-05	4.04262271886591e-05	0.0	0.0	0.0	0.0005773672055427201	0.0	0.0	0.0	0.0	0.0	0.0	0.00010841283607979	0.0	0.0005136106831022	0.0	0.00013665630887952	0.00011938512965902	0.00011930705255701999	0.00012082884543488001	0.00010653485299211999	5.0457905492343e-05	0.00017376136099596002	3.19063520296479e-05	0.00012620829800921	3.4450404144932205e-05	0.00018311664530305	5.04927720531857e-05
Candidatus Lindowbacteria	5.16621756604898e-05	5.0502074793572796e-05	9.39410647122243e-05	8.02518152505741e-05	9.938114183878691e-05	0.00035637918745545	0.0	0.0	0.0	0.0	0.00023036166781847	0.0	0.00012265423770391	0.0	0.0	0.00032523850823937	0.0	0.0005136106831022	8.37889356710446e-05	0.00016956126777433999	0.00015169296113891	0.00014135620404223998	0.00017290152777711	0.00017193754451726002	0.00011983752554431001	0.00020272158782862	8.64298649917043e-05	0.00016827773067894	9.98403432225742e-05	0.00019940172245451002	0.00012225796196211
Candidatus Ratteibacteria	3.1664939666367896e-05	3.241864957452e-05	6.5846540686138495e-06	3.24906134617709e-06	3.36885226572159e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.00034530386740331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4080135998209695e-05	7.90772637174437e-05	7.58128359286393e-05	7.381176332005308e-05	7.56218620759427e-05	6.88062347622859e-06	4.7818048956253204e-05	3.6349008641371e-06	3.99393348130413e-05	7.68002640173648e-06	6.11595119688079e-05	7.7141735081256e-06
Candidatus Dadabacteria	1.44336170768384e-05	1.53215930037792e-05	2.98504317777161e-05	2.3068335557857298e-05	1.7686474395038396e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007598784194528799	0.0	0.0	5.3050852095735295e-05	4.6154044971270596e-05	4.2286043944261e-05	4.55004020466081e-05	4.93074979076248e-05	3.2109576222400104e-05	5.79204536653208e-05	2.26171609324086e-05	4.5797103918954e-05	2.3698367182501102e-05	6.44165273990995e-05	3.22592710339798e-05
Candidatus Firestonebacteria	2.92805315589607e-05	2.86375697559908e-05	1.4486238950950501e-05	1.13717147116198e-05	1.0948769863595199e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18944678355223e-05	9.418205071426429e-05	4.5538657704987e-05	4.2286043944261e-05	6.268944281977111e-05	5.79937928758074e-05	1.72015586905715e-05	8.35132122616253e-05	1.21163362137903e-05	8.20087674827782e-05	1.4262906174653501e-05	0.00010892907161308001	2.5480148860172398e-05
Candidatus Raymondbacteria	3.83730744752069e-05	4.00465671214659e-05	1.79980544542112e-05	1.3970963788561498e-05	1.55809417289624e-05	0.0	0.0	0.0	0.0	0.00022999080036798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28417017532835e-05	0.00013615266154949	3.90770914090091e-05	3.53390510105609e-05	4.55004020466081e-05	3.60225761915808e-05	2.06418704286858e-05	0.00015018908334147	1.9790015815857503e-05	0.00012141557783163999	2.21623619021538e-05	0.0001530797252237	2.38438090251155e-05
Candidatus Riflebacteria	3.5352824205824395e-05	3.47859343304687e-05	2.98504317777161e-05	2.92415521155938e-05	3.15829899911399e-05	0.0	0.0	0.0	0.0	0.00022999080036798	0.0	0.00034530386740331	0.0	0.0	0.0	5.42064180398959e-05	0.0	0.0	0.0	9.77075820244239e-05	0.00011723127422702	0.00012142135475423001	0.000114762125162	0.00011547662722407	4.4150667305800104e-05	0.00013739270404331002	3.1502474155854903e-05	0.00011289518640486001	3.4450404144932205e-05	0.00015669863125736	4.1609784377162296e-05
Candidatus Wallbacteria	1.72631146976283e-05	1.7327209255346898e-05	2.0192939143749102e-05	2.53426785001813e-05	1.8528687461468803e-05	0.0	0.0	0.0	0.0	0.0	0.00023036166781847	0.00034530386740331	0.0	0.0	0.0	5.42064180398959e-05	0.0	0.0	2.09472339177612e-05	4.1299081061869896e-05	3.41539932787403e-05	3.71513100367435e-05	4.60059620693482e-05	4.87965393800847e-05	1.2614476373085801e-05	6.33084028434902e-05	2.18094051848226e-05	3.78092369563458e-05	2.23817912279177e-05	5.46454811082248e-05	3.0389168365343297e-05
candidate division CPR1	7.1214322141229005e-06	6.83882262829631e-06	3.95079244116831e-06	3.5739674807948e-06	1.6844261328608e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66203618907525e-05	3.07693633141804e-06	6.04086342060871e-06	6.31950028425112e-06	5.3650645391716105e-06	2.29354115874286e-06	2.0878303065406303e-05	2.01938936896505e-06	2.0235929638607602e-05	3.9497278637501896e-06	1.70088583581892e-05	3.03891683653433e-06
Candidatus Coatesbacteria	2.63556576138745e-05	2.75525642428476e-05	4.12638321633135e-05	4.1263079096448996e-05	3.45307357236463e-05	0.00035637918745545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037693177534866	0.00010841283607979	0.0	0.0	2.09472339177612e-05	9.619664003435551e-05	8.03080382500109e-05	8.3968001546461e-05	0.00010010088450253001	0.00011138895900375	4.6444208464543e-05	0.0001259433120397	3.4329619272405893e-05	0.0001059723683706	3.57669800995156e-05	9.73485723053807e-05	5.236287472182221e-05
