#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
Candidatus.Nomurabacteria	0.0002942907592701	0.0001174894846911	0.0001092032149426	0.0001944563547926	0.0002445773599302	3.60118408866357e-05	2.39079611803019e-05	2.99362477667559e-05
Candidatus.Yanofskybacteria	0.0	1.1748948469112e-05	4.48813213060993e-05	6.8171480703187e-05	3.15463969561067e-05	1.93352165834286e-05	1.19539805901509e-05	1.43693989280428e-05
Candidatus.Azambacteria	0.0	0.0	3.12009185550423e-06	7.0779132970522e-06	1.00206202095868e-05	4.59211393856428e-06	5.97699029507547e-06	2.39489982134047e-06
Candidatus.Falkowbacteria	0.0	7.04936908146721e-05	5.83217169913482e-05	0.0001195794825449	0.0001503093031438	2.27188794855286e-05	1.70771151287871e-05	1.79617486600536e-05
Candidatus.Magasanikbacteria	0.0	9.39915877528961e-05	0.0001317638791286	0.0002529422699314	0.000252000041567	4.39876177273e-05	4.01312205526496e-05	4.31081967841285e-05
Candidatus.Nealsonbacteria	0.0	0.0	5.4961618070036e-05	5.66233063764176e-05	4.23092853293667e-05	1.861014596155e-05	1.28078363465903e-05	1.55668488387131e-05
Candidatus.Uhrbacteria	0.0	4.69957938764481e-05	8.66425507566943e-05	0.0001981815723174	0.0002349278738025	2.41690207292857e-05	2.22002496674232e-05	2.99362477667559e-05
Candidatus.Giovannonibacteria	0.0	1.1748948469112e-05	4.80014131616035e-06	8.56800030695792e-06	9.64948612775029e-06	9.18422787712857e-06	5.12313453863612e-06	3.59234973201071e-06
Candidatus.Moranbacteria	0.0	4.69957938764481e-05	4.89614414248355e-05	8.67975683270085e-05	8.53608388224064e-05	2.39273305219928e-05	2.04925381545445e-05	2.5146448124075e-05
Candidatus.Zambryskibacteria	0.0	3.5246845407336e-05	1.12803320929768e-05	2.19787833961095e-05	2.67216538922316e-05	1.45014124375714e-05	1.53694036159084e-05	8.38214937469166e-06
Candidatus.Staskawiczbacteria	0.0	1.1748948469112e-05	1.4160416882673e-05	1.30382613366751e-05	1.33608269461158e-05	3.26281779845357e-05	2.98849514753774e-05	1.67642987493833e-05
Candidatus.Wolfebacteria	0.0	7.04936908146721e-05	2.52007419098418e-05	5.6995828128894e-05	7.16288777944541e-05	4.59211393856428e-06	2.56156726931806e-06	7.18469946402142e-06
Candidatus.Harrisonbacteria	0.0	0.0	3.00008832260022e-05	3.57620882377374e-05	2.07835085828468e-05	7.00901601149285e-06	5.97699029507547e-06	1.19744991067024e-06
Candidatus.Taylorbacteria	0.0	4.69957938764481e-05	8.88026143489664e-06	1.49008700990573e-05	1.74433018463178e-05	6.52563559690714e-06	3.41542302575741e-06	4.78979964268095e-06
Candidatus.Buchananbacteria	0.0	9.39915877528961e-05	2.16006359227216e-05	3.50170447327846e-05	4.56494920658956e-05	6.52563559690714e-06	2.56156726931806e-06	3.59234973201071e-06
Candidatus.Portnoybacteria	0.0	2.3497896938224e-05	1.03203038297447e-05	2.64490444258266e-05	9.64948612775029e-06	6.04225518232142e-06	2.56156726931806e-06	1.19744991067024e-06
Candidatus.Adlerbacteria	0.0	0.0	7.20021197424052e-07	0.0	1.11340224550965e-06	2.41690207292857e-07	8.53855756439353e-07	1.19744991067024e-06
Candidatus.Sungbacteria	0.0	0.0	5.76016957939242e-06	1.52733918515337e-05	6.68041347305789e-06	2.90028248751428e-06	2.56156726931806e-06	3.59234973201071e-06
Candidatus.Jorgensenbacteria	0.0	3.5246845407336e-05	3.36009892131224e-06	1.15481743267694e-05	9.64948612775029e-06	3.86704331668571e-06	4.26927878219677e-06	4.78979964268095e-06
Candidatus.Liptonbacteria	0.0	0.0	4.80014131616035e-07	1.86260876238216e-06	1.11340224550965e-06	8.70084746254285e-06	1.11001248337116e-05	1.43693989280428e-05
Candidatus.Tagabacteria	0.0	2.3497896938224e-05	9.6002826323207e-06	1.67634788614394e-05	3.63711400199819e-05	1.69183145105e-06	1.70771151287871e-06	0.0
Candidatus.Ryanbacteria	0.0	0.0	1.4400423948481e-06	4.47026102971718e-06	3.34020673652895e-06	3.14197269480714e-06	2.56156726931806e-06	1.19744991067024e-06
Candidatus.Wildermuthbacteria	0.0	1.1748948469112e-05	1.68004946065612e-06	1.11756525742929e-06	2.2268044910193e-06	1.69183145105e-06	3.41542302575741e-06	1.19744991067024e-06
Candidatus.Komeilibacteria	0.0	0.0	1.08003179613608e-05	3.42720012278317e-05	3.63711400199819e-05	1.522648305945e-05	2.13463939109838e-05	1.07770491960321e-05
Candidatus.Kuenenbacteria	0.0	0.0	3.60010598712026e-06	1.30382613366751e-05	1.4845363273462e-05	8.94253766983571e-06	3.41542302575741e-06	2.39489982134047e-06
Candidatus.Lloydbacteria	0.0	1.1748948469112e-05	1.3920409816865e-05	9.68556556438722e-06	6.30927939122134e-06	1.69183145105e-06	2.56156726931806e-06	2.39489982134047e-06
Candidatus.Kerfeldbacteria	0.0	0.0	6.9602049084325e-06	1.30382613366751e-05	8.53608388224064e-06	1.11177495354714e-05	1.36616921030297e-05	4.78979964268095e-06
Candidatus.Terrybacteria	0.0	0.0	7.44021904004854e-06	1.00580873168637e-05	1.52164973552985e-05	0.0	4.26927878219677e-06	2.39489982134047e-06
Candidatus.Yonathbacteria	0.0	0.0	2.16006359227216e-06	6.70539154457577e-06	4.82474306387514e-06	2.41690207292857e-06	2.56156726931806e-06	2.39489982134047e-06
Candidatus.Niyogibacteria	0.0	0.0	5.76016957939242e-06	1.45283483465808e-05	4.08247490020205e-06	1.93352165834286e-06	0.0	3.59234973201071e-06
Candidatus.Campbellbacteria	0.0	5.87447423455601e-05	3.84011305292828e-06	8.19547855448149e-06	7.42268163673099e-06	3.62535310939285e-06	4.26927878219677e-06	5.98724955335118e-06
Candidatus.Colwellbacteria	0.0	0.0	2.64007772388819e-06	4.84278278219361e-06	7.42268163673099e-06	7.25070621878571e-07	1.70771151287871e-06	2.39489982134047e-06
Candidatus.Vogelbacteria	0.0	0.0	9.6002826323207e-07	2.23513051485859e-06	2.59793857285585e-06	3.62535310939285e-06	5.97699029507547e-06	1.19744991067024e-06
Candidatus.Spechtbacteria	0.0	1.1748948469112e-05	3.36009892131224e-06	7.82295680200506e-06	7.42268163673099e-06	2.65859228022143e-06	2.56156726931806e-06	1.19744991067024e-06
Candidatus.Brennerbacteria	0.0	0.0	2.40007065808017e-07	1.11756525742929e-06	0.0	0.0	0.0	0.0
Candidatus.Andersenbacteria	0.0	0.0	2.40007065808017e-05	2.79391314357324e-05	2.04123745010102e-05	1.93352165834286e-06	2.56156726931806e-06	2.39489982134047e-06
Candidatus.Jacksonbacteria	0.0	0.0	0.0	0.0	3.7113408183655e-07	0.0	0.0	0.0
Candidatus.Parcubacteria	0.0	0.0	2.40007065808017e-07	7.45043504952863e-07	1.85567040918275e-06	1.69183145105e-06	1.70771151287871e-06	1.19744991067024e-06
Candidatus.Woesebacteria	0.0	2.3497896938224e-05	0.0001096832290742	0.0001348528743964	0.0001035464088323	2.24771892782357e-05	3.33003745011348e-05	2.75413479454154e-05
Candidatus.Gottesmanbacteria	0.0	4.69957938764481e-05	8.18424094405339e-05	0.0001776928759312	0.0001618144596807	2.00602872053071e-05	1.96386823981051e-05	2.15540983920643e-05
Candidatus.Roizmanbacteria	0.0	0.0001879831755057	7.70422681243736e-05	0.0001516163532579	0.0001729484821358	4.88214218731571e-05	5.8062191437876e-05	5.14903461588202e-05
Candidatus.Levybacteria	0.0	7.04936908146721e-05	7.22421268082132e-05	7.71120027626213e-05	6.346392799405e-05	3.28698681918285e-05	1.87848266416658e-05	2.27515483027345e-05
Candidatus.Daviesbacteria	0.0	5.87447423455601e-05	2.56807560414579e-05	4.84278278219361e-05	3.41443355289626e-05	1.69183145105e-05	1.87848266416658e-05	1.79617486600536e-05
