#OTU ID	mgm4440026	mgm4440051	mgm4440441	mgm4503256	mgm4503257	mgm4503259	mgm4503260	mgm4503261	mgm4503262	mgm4503266	mgm4503268	mgm4503270	mgm4503272	mgm4503273	mgm4503275	mgm4503276	mgm4503278	mgm4503279	mgm4503280	mgm4503281	mgm4503282	mgm4503283	mgm4503284	mgm4503285	mgm4503286	mgm4503287	mgm4503288	mgm4503289	mgm4503290	mgm4503291	mgm4503292	mgm4503293	mgm4548727	mgm4548728	mgm4548729	mgm4548730	mgm4548811	mgm4549010	mgm4549011	mgm4549012	mgm4549013	mgm4549014	mgm4549015	mgm4549016	mgm4549017	mgm4549018	mgm4549019	mgm4549020	mgm4549021	mgm4549506	mgm4549855	mgm4552786	mgm4552904	mgm4552905	mgm4552977	mgm4552978	mgm4552979	mgm4552980	mgm4552981	mgm4552982	mgm4552983
Candidatus.Rokubacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26377985290472e-06	2.71812992661049e-05	0.0	1.24074481911491e-05	0.0	0.0	3.74258500346189e-05	0.0	0.0	2.89936310657092e-05	5.22569789195347e-06	0.0	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Handelsmanbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13780276631678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Schekmanbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53824855020074e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	5.33304890405845e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00897004645203e-05	0.0	0.0
Candidatus.Aminicenantes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26377985290472e-06	2.71812992661049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0003164556962025	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
candidate.division.WWE3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003630642623744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20372409557457e-06	0.0	0.0	0.0	0.0	0.0	1.93290873771395e-05	5.22569789195347e-06	0.0	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Peregrinibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002420428415829	0.0	0.0	9.12325517744731e-05	9.61908426317815e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33304890405845e-05	0.0	9.66454368856974e-06	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	6.23169439770674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Doudnabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26377985290472e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Berkelbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0001210214207914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Gribaldobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Saccharibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61314936761785e-05	0.0003680981595092	0.0	0.0	0.0	0.0108695652173913	6.48151148847911e-05	0.0	0.0	0.0	0.0	0.0	0.0020535618145179	0.262132397434346	0.0	0.0	0.0004561627588723	9.61908426317815e-05	0.0	0.0	0.0	5.7846458970333e-05	0.005979885838543	0.0	3.10186204778729e-06	0.0006321112515802	0.0	0.0044723890791369	0.000639965868487	0.0	0.0007924925824627	0.0059834240862867	0.0043727731247975	8.44166807361135e-05	0.0	0.0	0.0155926135293009	0.0253006792546893	0.0	0.0	0.0	0.0	0.0036440813711356	0.0002413709872073	0.0010759629868732
