#OTU ID	mgm4633656	mgm4633657
Candidatus.Chisholmbacteria	1.36080230726753e-06	4.38628811245741e-07
Candidatus.Collierbacteria	6.25969061343063e-06	3.94765930121167e-06
Candidatus.Woykebacteria	3.53808599889557e-06	2.1931440562287e-06
Candidatus.Pacebacteria	1.11585789195937e-05	1.3597493148618e-05
Candidatus.Blackburnbacteria	1.36080230726753e-06	1.75451524498296e-06
Candidatus.Microgenomates	1.08864184581402e-06	4.38628811245741e-07
Candidatus.Gracilibacteria	1.11585789195937e-05	2.1931440562287e-06
candidate.division.NC10	1.19750603039542e-05	1.62292660160924e-05
Candidatus.Rokubacteria	6.69514735175624e-05	0.0001013232553977
Candidatus.Handelsmanbacteria	9.7977766123262e-06	1.22816067148807e-05
Candidatus.Schekmanbacteria	2.17728369162804e-06	5.70217454619463e-06
Candidatus.Aminicenantes	3.37478972202347e-05	5.30740861607346e-05
Candidatus.Glassbacteria	5.71536969052362e-06	7.89531860242334e-06
candidate.division.WWE3	9.25345568941919e-06	1.0088462658652e-05
Candidatus.Peregrinibacteria	2.639956476099e-05	3.11426455984476e-05
Candidatus.Doudnabacteria	5.17104876761661e-06	4.38628811245741e-06
Candidatus.Berkelbacteria	6.53185107488413e-06	1.1842977903635e-05
Candidatus.Gribaldobacteria	1.36080230726753e-06	1.31588643373722e-06
Candidatus.Saccharibacteria	0.0001924174462476	0.0002574751122012
Candidatus.Eisenbacteria	1.17028998425007e-05	1.40361219598637e-05
Candidatus.Desantisbacteria	3.81024646034908e-06	4.38628811245741e-06
Candidatus.Edwardsbacteria	5.44320922907011e-06	9.21120503616056e-06
Candidatus.Lindowbacteria	5.98753015197712e-06	8.77257622491482e-06
Candidatus.Ratteibacteria	1.63296276872103e-06	8.77257622491482e-07
Candidatus.Dadabacteria	4.62672784470959e-06	6.14080335744037e-06
Candidatus.Firestonebacteria	3.81024646034908e-06	1.05270914698978e-05
Candidatus.Raymondbacteria	3.53808599889557e-06	3.50903048996593e-06
Candidatus.Riflebacteria	7.07617199779115e-06	1.49133795823552e-05
Candidatus.Wallbacteria	1.63296276872103e-06	1.31588643373722e-05
candidate.division.CPR1	2.72160461453506e-07	0.0
Candidatus.Coatesbacteria	2.17728369162804e-06	4.38628811245741e-06
Candidatus.Bipolaricaulota	2.44944415308155e-06	1.75451524498296e-06
Candidatus.Blackallbacteria	2.17728369162804e-06	2.63177286747445e-06
candidate.division.CPR2	8.16481384360517e-07	2.63177286747445e-06
Candidatus.Fraserbacteria	1.36080230726753e-06	1.31588643373722e-06
Candidatus.Fischerbacteria	8.16481384360517e-07	4.38628811245741e-07
Candidatus.Sumerlaeota	2.72160461453506e-07	1.75451524498296e-06
candidate.division.WOR.3	8.16481384360517e-07	4.38628811245741e-07
Candidatus.Wirthbacteria	1.36080230726753e-06	1.31588643373722e-06
Candidatus.Abawacabacteria	2.72160461453506e-07	4.38628811245741e-07
Candidatus.Absconditabacteria	3.53808599889557e-06	1.31588643373722e-06
candidate.division.CPR3	2.72160461453506e-07	1.31588643373722e-06
Candidatus.Delongbacteria	2.72160461453506e-06	1.75451524498296e-06
Candidatus.Calescamantes	2.72160461453506e-07	4.38628811245741e-07
Planctomycetota	0.0006471975773364	0.0008316402261219
Candidatus.Omnitrophica	7.02173990550044e-05	7.71986707792504e-05
Verrucomicrobiota	0.0037090027686883	0.0030761038532663
Lentisphaerota	5.14383272147126e-05	6.31625488193867e-05
Chlamydiota	2.12285159933734e-05	2.23700693735328e-05
Kiritimatiellota	1.55131463028498e-05	1.14043490923893e-05
Thermodesulfobacteriota	0.0033813215730983	0.0051920492387158
Nitrospirota	0.0005154719139929	0.0002763361510848
Campylobacterota	0.0199352094805464	0.0068083964081563
Bacteroidota	0.160927664376074	0.0676102449654185
Ignavibacteriota	3.40200576816882e-05	4.25469946908369e-05
Chlorobiota	5.52485736750616e-05	6.40398064418782e-05
Balneolota	4.08240692180258e-06	3.94765930121167e-06
Gemmatimonadota	0.0001004272102763	0.0001425543636548
candidate.division.Zixibacteria	7.89265338215166e-06	5.70217454619463e-06
Candidatus.Marinimicrobia	6.25969061343063e-06	6.57943216868611e-06
Candidatus.Hydrogenedentes	4.08240692180258e-06	8.77257622491482e-06
Fibrobacterota	0.0001009715311992	1.57906372048467e-05
Candidatus.Cloacimonetes	4.35456738325609e-06	0.0031892700865677
Elusimicrobiota	0.0001398904771871	0.000144747507711
Acidobacteriota	0.0003257760723598	0.0003899410131974
Myxococcota	0.0007269405925423	0.000789093231431
Nitrospinota	7.62049292069816e-06	1.3597493148618e-05
Candidatus.Tectomicrobia	6.25969061343063e-06	8.33394741366908e-06
Spirochaetota	0.0003374789722023	0.0003754662624263
Bdellovibrionota	0.0001118579496573	8.42167317591823e-05
Synergistota	0.000148871772415	0.0001693107211408
Caldisericota	0.0	2.63177286747445e-06
Fusobacteriota	0.0009152756318681	0.0005281090887398
Thermotogota	2.83046879911646e-05	3.42130472771678e-05
Atribacterota	7.07617199779115e-06	6.57943216868611e-06
Chrysiogenota	7.62049292069816e-06	6.14080335744037e-06
Aquificota	7.62049292069816e-06	4.82491692370315e-06
Calditrichota	4.08240692180258e-06	4.82491692370315e-06
Deferribacterota	1.98677136861059e-05	2.5440471052253e-05
Dictyoglomota	1.63296276872103e-06	2.1931440562287e-06
Coprothermobacterota	8.16481384360517e-07	1.75451524498296e-06
Nitrososphaerota	1.55131463028498e-05	0.0001254478400162
Candidatus.Bathyarchaeota	2.17728369162804e-06	2.63177286747445e-06
Thermoproteota	1.08864184581402e-05	1.97382965060583e-05
Euryarchaeota	0.0012780655269856	0.0026379136708318
Candidatus.Woesearchaeota	2.44944415308155e-06	3.50903048996593e-06
Nanoarchaeota	2.72160461453506e-07	0.0
Candidatus.Micrarchaeota	5.98753015197712e-06	2.1931440562287e-06
Candidatus.Diapherotrites	5.44320922907011e-07	8.77257622491482e-07
Candidatus.Altiarchaeota	5.44320922907011e-07	4.38628811245741e-07
Candidatus.Nanohaloarchaeota	0.0	4.38628811245741e-07
Candidatus.Thermoplasmatota	4.08240692180258e-06	6.14080335744037e-06
Candidatus.Heimdallarchaeota	1.63296276872103e-06	8.77257622491482e-07
Candidatus.Lokiarchaeota	4.08240692180258e-06	6.57943216868611e-06
Candidatus.Thorarchaeota	2.72160461453506e-07	0.0
