#OTU ID	mgm4754246	mgm4754247
Candidatus.Cloacimonetes	5.13456915830193e-06	4.81879426137823e-06
Elusimicrobiota	0.0003299948101354	0.0003417328263694
Acidobacteriota	0.0026599043074295	0.0033631168282535
Myxococcota	0.0155678162045423	0.0104535710176832
Nitrospinota	1.38238400415821e-05	1.64642137263756e-05
Candidatus.Tectomicrobia	3.13998652373079e-05	3.95542695621463e-05
Spirochaetota	0.0027661503923205	0.0013271762528212
Bdellovibrionota	0.0004490773179222	0.0006985243848056
Synergistota	6.27997304746159e-05	6.40498070574856e-05
Caldisericota	1.77735086248913e-06	1.40548165956865e-06
Fusobacteriota	3.08074149498116e-05	2.18853572704261e-05
Thermotogota	1.69835749082295e-05	2.00783094224093e-05
Atribacterota	5.92450287496376e-06	3.61409569603367e-06
Chrysiogenota	5.13456915830193e-06	6.42505901517097e-06
Aquificota	6.12198630412922e-06	1.16454194649974e-05
Calditrichota	5.52953601663284e-06	8.23210686318781e-06
Deferribacterota	8.49178745411473e-06	7.42897448629143e-06
Dictyoglomota	1.38238400415821e-06	1.00391547112046e-06
Coprothermobacterota	7.89933716661835e-07	8.03132376896371e-07
Nitrososphaerota	0.0001688483319364	0.0002009838773183
Candidatus.Bathyarchaeota	3.15973486664734e-06	5.82270973249869e-06
Thermoproteota	0.0020384239558458	0.0010900514185426
Candidatus.Korarchaeota	0.0	2.00783094224093e-07
Euryarchaeota	0.0019234886000715	0.0021801028370852
Candidatus.Woesearchaeota	4.93708572913647e-06	2.20861403646502e-06
Nanoarchaeota	5.92450287496376e-07	0.0
Candidatus.Micrarchaeota	5.13456915830193e-06	6.62584210939506e-06
Candidatus.Diapherotrites	0.0	2.00783094224093e-07
Candidatus.Altiarchaeota	1.97483429165459e-07	4.01566188448186e-07
Candidatus.Huberarchaea	0.0	2.00783094224093e-07
Candidatus.Thermoplasmatota	3.3572182958128e-06	5.01957735560232e-06
Candidatus.Heimdallarchaeota	1.77735086248913e-06	1.40548165956865e-06
Candidatus.Lokiarchaeota	7.89933716661835e-07	6.02349282672278e-07
Candidatus.Thorarchaeota	7.89933716661835e-07	2.00783094224093e-07
