#OTU ID	ERR2191545	ERR2191546	SRR3546449	SRR3546450	SRR3546451	SRR3546453	SRR3546454	SRR3546455	SRR3546457	SRR7193715
Candidatus.Harrisonbacteria	0.0003667730648004	4.43425809651215e-05	1.74831251310582e-05	2.91347052841309e-05	3.45875565316318e-05	1.20686383692856e-05	3.27905799026291e-05	2.31560422534618e-05	2.36595965228968e-05	1.9885239287665e-06
Candidatus.Taylorbacteria	0.0009895527271755	5.64675054477719e-05	1.52390225022955e-05	1.06703538460989e-05	3.15438515568482e-05	5.81082588150787e-06	0.0001671340751753	1.07168460016022e-05	0.0001386759348769	1.04601806663881e-05
Candidatus.Buchananbacteria	0.0013104165553715	0.0001637730871192	5.92860601459168e-05	0.0001351423511029	0.0001581343084626	8.65366069738403e-05	6.10541021321341e-05	5.78901056336546e-05	0.0003074159655592	4.2766884495389e-06
Candidatus.Portnoybacteria	0.0019466351033709	0.0003434817892727	1.28905430070787e-05	1.82323872239864e-05	5.26422610411436e-05	8.26925221599197e-06	0.0001865881878787	1.28219407519169e-05	8.95571304625086e-05	4.30392850335762e-06
Candidatus.Adlerbacteria	0.0001259582509749	1.3943663155048e-05	3.7053787591198e-06	4.96403418057644e-06	1.21748198991344e-05	1.83264508570633e-06	1.76188190521589e-05	6.6501856884942e-06	1.11152466886092e-06	2.96916586624039e-06
Candidatus.Sungbacteria	0.0003658548800683	3.98679064536672e-05	1.20555280754461e-05	9.09299719058862e-06	1.96457321099668e-05	7.59877230658722e-06	3.40141090034735e-05	1.01427292515163e-05	1.97427953088154e-05	1.46279089006522e-05
Candidatus.Jorgensenbacteria	0.0009346285859287	0.0001963660388833	6.10604668756361e-06	5.24239123743119e-06	1.2866571029767e-05	3.12890624388885e-06	2.0432935984101e-05	3.63607275054359e-06	2.7100030021752e-05	3.73188737316452e-06
Candidatus.Liptonbacteria	0.0002494123617714	2.81471461204384e-05	8.50671461600742e-06	1.56343880266753e-05	2.8085095903685e-05	7.6434709672142e-06	0.0001139105592886	7.60704693863725e-06	1.14328251654266e-05	1.1440822603862e-06
Candidatus.Tagabacteria	0.000286139751055	3.23042630859186e-05	1.61784143003822e-06	7.88678327755135e-07	2.90535474865707e-06	9.8337053379364e-07	1.17458793681059e-05	7.65489000114441e-07	1.00037220197483e-05	1.12229021733123e-05
Candidatus.Ryanbacteria	0.0004324650088145	3.6403642315767e-05	0.0001098044635096	6.66665151167135e-05	3.90147637676806e-05	6.11477677377136e-05	0.0004443857694266	1.72235025025749e-05	6.12397162796232e-05	2.424364789866e-06
Candidatus.Wildermuthbacteria	0.0003212811848923	9.21205572003272e-05	0.0001033330977895	3.20110615382967e-06	2.22052112933076e-05	2.09189731734283e-05	0.000156611724908	9.09018187635898e-06	0.0001671521382982	2.36988468222856e-06
Candidatus.Komeilibacteria	0.0010110048613708	8.26515685567336e-05	7.5464474446299e-05	0.0001476684186614	0.000114899862798	0.0001008401783744	7.58588042523509e-05	4.5785810819345e-05	5.94401049109912e-05	2.83296559714679e-06
Candidatus.Kuenenbacteria	0.0012139236871627	0.000126965280654	1.93097202940046e-05	4.97331274913826e-05	2.77392203383687e-05	3.33005021671028e-05	4.45364592707351e-05	9.52076943892335e-06	0.0003314990000512	1.96128387494778e-06
Candidatus.Lloydbacteria	0.0001907320102569	2.26620612354299e-05	7.88045341728295e-06	5.9846767223772e-06	3.40341556271257e-05	3.53119418953171e-06	4.58823412816639e-05	8.5639081887803e-06	9.8449327813396e-06	5.09389006410048e-06
Candidatus.Kerfeldbacteria	0.001147146615738	5.26856837638976e-05	1.65437333329715e-05	2.22221717055712e-05	5.99056479127862e-05	1.18898437267776e-05	0.0002828799281152	1.82282068152251e-05	0.0001453450828901	1.17949433035054e-05
Candidatus.Terrybacteria	0.0002504974891821	1.59067461665247e-05	0.0001123095083045	2.55160635450191e-06	7.81678777614878e-06	2.4494866023587e-05	7.83058624540397e-06	2.822740687922e-06	2.18070554081286e-05	5.44801076374383e-07
Candidatus.Yonathbacteria	0.0003192778727496	5.04627809420783e-05	3.29309013662619e-05	3.91091664880929e-05	4.18509434032744e-05	3.88878347454758e-06	5.26117513363079e-05	1.27262546269026e-05	7.25137522066411e-06	1.30752258329852e-06
Candidatus.Niyogibacteria	0.0002141874565949	2.91864253618085e-05	8.6110914824615e-06	2.78357056854754e-06	9.75369094192016e-06	3.12890624388885e-06	1.12564677277682e-05	3.34901437550068e-06	1.23326308497426e-05	4.08600807280787e-07
Candidatus.Campbellbacteria	0.0007363006837972	5.44178158328476e-05	5.06227802302282e-06	5.75271250833157e-06	1.74321284919424e-05	2.23493303134918e-06	4.40470476303973e-05	4.44940481316519e-06	1.19091928806527e-05	2.94192581242167e-05
Candidatus.Colwellbacteria	0.0001780443666862	1.67728122009997e-05	4.07069779170907e-06	3.15471331102054e-06	4.00523904636296e-05	1.60915178257141e-06	0.0001693364275568	1.68886010650248e-05	5.29297461362344e-05	4.90320968736944e-07
Candidatus.Vogelbacteria	0.0003280423633741	1.17496292010446e-05	5.11446645624986e-06	4.82485565214906e-06	5.31956619456497e-05	3.35239954702377e-06	5.05317518648725e-05	1.72713455650821e-05	1.91605681013168e-05	2.47884489750344e-06
Candidatus.Spechtbacteria	0.000104589588119	1.04216612815162e-05	5.84510452142841e-06	1.32219602006008e-05	2.84309714690013e-05	8.26925221599197e-06	7.21882169498178e-06	7.36783162610149e-06	4.71074740612486e-06	4.35840861099506e-07
Candidatus.Brennerbacteria	0.0001134375500828	2.75408998963059e-05	6.52355415337993e-06	5.56714113709507e-07	1.17597692207548e-06	6.61540177279358e-06	1.59058783109768e-06	8.61175125128746e-07	2.75234679908419e-06	5.44801076374383e-08
Candidatus.Andersenbacteria	6.36051605320797e-05	2.56932923560925e-05	1.7222182964923e-06	1.20621391303727e-06	5.53400904506108e-06	6.25781248777771e-07	3.91529312270198e-06	1.05254737515736e-06	2.65178028142534e-05	3.54120699643349e-07
Candidatus.Jacksonbacteria	6.18522624071799e-05	1.0623743356227e-05	6.26261198724473e-07	3.24749899663879e-07	2.76700452253054e-07	1.34095981880951e-07	3.67058730253311e-07	3.34901437550068e-07	5.82227207498578e-07	0.0
