#OTU ID	mgm4575366	mgm4575367	mgm4575368	mgm4575369	mgm4575370	mgm4575371	mgm4575372	mgm4575373	mgm4575374	mgm4575375	mgm4575376	mgm4575377	mgm4575355	mgm4575356	mgm4575357	mgm4575358	mgm4575359	mgm4575360	mgm4575361	mgm4575362	mgm4575363	mgm4575364	mgm4575365	mgm4726046	mgm4726047	mgm4569549	mgm4569551	mgm4569550
Candidatus Glassbacteria	0.0	9.53948152917889e-06	0.0	3.99760143913652e-06	1.52781385116037e-05	0.0	0.0	0.0	8.6926538382413e-06	0.0	2.39911712489804e-05	0.0	0.0001080672178094	5.49148819330038e-05	0.0	0.0	2.00272370423776e-05	2.76621346869338e-05	6.24122327976283e-05	0.0001072520243819	6.00997656109141e-05	8.2815734989648e-05	1.93971369825814e-05	0.0	0.0	1.1469336728257e-06	8.42283239901621e-06	1.9669315399982e-06
candidate division WWE3	0.0	0.0	0.0	7.99520287827304e-06	0.0	5.54815801154017e-06	0.0	0.0	1.15902051176551e-05	0.0	0.0	0.0	0.0	0.000109829763866	0.0	0.0	8.01089481695105e-05	5.53242693738676e-05	6.24122327976283e-05	5.36260121909801e-05	2.0033255203638e-05	8.2815734989648e-05	0.0	0.0	0.0	1.1469336728257e-06	2.28193047973347e-05	1.30224432992984e-05
Candidatus Peregrinibacteria	6.62076271186441e-05	1.90789630583578e-05	6.51763018966304e-05	3.99760143913652e-06	3.05562770232075e-05	2.21926320461607e-05	0.0	0.0	1.15902051176551e-05	7.49456643933148e-05	0.0	0.0	0.0002161344356189	0.000274574409665	0.0007727975270479	8.38785438684784e-05	0.0002202996074661	0.0002766213468693	0.0002184428147916	0.0003932574227338	0.0002003325520363	0.0001656314699792	0.0002327656437909	2.69647166682396e-05	2.79634238416152e-05	1.1469336728257e-06	9.26511563891783e-05	0.0001928949413708
Candidatus Doudnabacteria	0.0	0.0	0.0	0.0	0.0	1.10963160230803e-05	0.0	0.0	2.89755127941377e-06	7.49456643933148e-05	0.0	1.92200503565319e-05	0.0001621008267142	8.78638110928062e-05	0.0	0.0	4.00544740847553e-05	4.14932020304007e-05	3.12061163988142e-05	3.57506747939867e-05	4.00665104072761e-05	8.2815734989648e-05	3.87942739651627e-05	0.0	0.0	0.0	1.15888615986464e-05	5.21575984227108e-05
Candidatus Berkelbacteria	0.0	9.53948152917889e-06	0.0	0.0	0.0	0.0	0.0	0.0	8.6926538382413e-06	0.0	0.0	0.0	0.0001080672178094	8.78638110928062e-05	0.0	0.0001677570877369	4.00544740847553e-05	4.14932020304007e-05	9.36183491964425e-05	0.0001072520243819	4.00665104072761e-05	8.2815734989648e-05	1.93971369825814e-05	0.0	0.0	0.0	1.89364387977882e-05	0.0001187619698805
Candidatus Gribaldobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89755127941377e-06	0.0	0.0	0.0	5.40336089047387e-05	1.09829763866008e-05	0.0	0.0	0.0	0.0	3.12061163988142e-05	0.0	0.0	0.0	1.93971369825814e-05	0.0	0.0	0.0	0.0	0.0
Candidatus Saccharibacteria	0.0	1.90789630583578e-05	0.0	0.0	0.0	5.54815801154017e-06	0.0	0.0	5.79510255882754e-06	0.0	0.0	0.0	5.40336089047387e-05	5.49148819330038e-05	0.0	8.38785438684784e-05	6.00817111271329e-05	8.29864040608014e-05	9.36183491964425e-05	7.15013495879735e-05	4.00665104072761e-05	8.2815734989648e-05	1.93971369825814e-05	0.0	0.0	1.1469336728257e-06	3.05253003964346e-05	8.88510454275048e-06
Candidatus Eisenbacteria	0.0	2.38487038229472e-05	0.0	1.99880071956826e-05	1.52781385116037e-05	0.0	2.27650420015025e-05	0.0	5.79510255882754e-06	7.49456643933148e-05	2.39911712489804e-05	3.84401007130639e-05	0.0007564705246663	0.0008127402526084	0.0	0.0001677570877369	0.0001001361852118	0.0004564252223344	0.0008425651427679	0.0005720107967037	0.0002003325520363	0.0004140786749482	0.0002327656437909	1.34823583341198e-05	0.0	0.0	5.85416719931623e-06	1.28867928482641e-06
Candidatus Desantisbacteria	0.0	9.53948152917889e-06	0.0	0.0	0.0	1.10963160230803e-05	4.5530084003005e-05	0.0	1.15902051176551e-05	0.0	2.39911712489804e-05	0.0	5.40336089047387e-05	8.78638110928062e-05	0.0	8.38785438684784e-05	4.00544740847553e-05	2.76621346869338e-05	1.56030581994071e-05	0.0	6.00997656109141e-05	0.0	0.0	0.0	0.0	9.1754693826056e-06	1.41575267983464e-05	1.11233369848174e-05
Candidatus Edwardsbacteria	0.0001324152542372	4.76974076458944e-06	0.0	0.0	0.0	5.54815801154017e-06	0.0	0.0	5.79510255882754e-06	0.0	2.39911712489804e-05	0.0	5.40336089047387e-05	2.19659527732015e-05	0.0	0.0001677570877369	0.0	2.76621346869338e-05	3.12061163988142e-05	1.78753373969934e-05	6.00997656109141e-05	0.0	3.87942739651627e-05	1.34823583341198e-05	0.0	2.2938673456514e-06	8.06441399905808e-06	2.71300902068717e-07
