#OTU ID	mgm4450123	mgm4450124	mgm4450125	mgm4450126	mgm4450127	mgm4664545	mgm4664546	mgm4664547	mgm4664548	mgm4664549	mgm4664551	mgm4664552	mgm4664553	mgm4664554	mgm4664555	mgm4664556	mgm4664557	mgm4664558	mgm4664559	mgm4664560	mgm4664561	mgm4664562	mgm4664563	mgm4664564	mgm4664565	mgm4664566	mgm4664567	mgm4664568	mgm4664569	mgm4664570	mgm4664571	mgm4664572	mgm4664573	mgm4664574	mgm4664575	mgm4664576	mgm4664577	mgm4664578	mgm4664579	mgm4664580	mgm4664581	mgm4664582	mgm4664583	mgm4664584	mgm4664585	mgm4664586	mgm4664587	mgm4664588	mgm4664590	mgm4664591	mgm4664594	mgm4666456	mgm4600482	mgm4600483	mgm4600484	mgm4600485	mgm4600486	mgm4600487	mgm4600488	mgm4600474	mgm4600475	mgm4600476	mgm4600477	mgm4600478	mgm4600479	mgm4600480	mgm4600481
Fusobacteriota	0.0	9.85286389910667e-05	0.0001171680482732	0.0001181718810009	0.0001987018148099	5.4777912085103e-05	7.49274854335888e-05	5.36152987425298e-05	0.0001188048234758	6.37579442398523e-05	6.93691386903311e-05	7.46649410769173e-05	3.88596002642453e-05	2.88489555235653e-05	5.12485199780868e-05	5.67668876912907e-05	7.00934888438939e-05	9.65319916673585e-05	5.71120865492877e-05	4.06742105490825e-05	4.96579482119872e-05	6.26765225498376e-05	6.48756920918559e-05	4.94521503666142e-05	9.28226400446513e-05	4.99435253982036e-05	8.17872750152886e-05	0.0001306728235484	5.00661744218445e-05	9.27629955159031e-05	0.000134529197839	2.16172147145292e-05	7.33768311188206e-05	8.41952717976456e-05	6.89524400544724e-05	5.43262973232981e-05	5.73270945640077e-05	6.65286080091951e-05	0.0001675783958702	9.83240568120256e-05	4.13514631120625e-05	3.72715564187832e-05	8.92050981919091e-05	3.52456249049296e-05	4.41328988694622e-05	4.66178732926204e-05	6.06468787605055e-05	3.92750584374861e-05	5.27980316893786e-05	7.28543057794152e-05	8.01770813027046e-05	4.05666141836096e-05	0.0	0.0	9.8941327792619e-05	0.0001630789302022	0.0	0.0	0.0004433115371827	0.0	8.55431993156544e-05	0.0001879345987596	0.0024544896706893	0.0002205395868558	0.0001513660788617	0.0004800307219662	0.000255591054313
Thermotogota	8.14575470417334e-05	9.85286389910667e-05	0.0	5.90859405004579e-05	0.0001987018148099	0.0001661596666581	0.0001409652692055	0.0001627607283255	0.0001148446626933	0.0001606700194844	8.5691288970409e-05	9.70644233999925e-05	0.0001580290410745	0.0001528994642748	0.0001396080371816	0.0001355080544888	0.0001388644590303	0.0001621737460011	0.0001631773901408	0.0001349350794406	0.0001489738446359	0.0001155598384512	8.41356631816256e-05	0.0001443468172863	0.0001253708385018	0.0001075706700884	8.55048784250745e-05	0.0001506482870207	0.0001414913624965	0.0001540528318389	0.000174554413725	0.0001297032882871	0.0001276756861467	0.0001505309404867	4.35057062248457e-05	0.0001041254032029	0.0001166309854922	0.0001429657321048	0.0001695045843285	0.0001677292733852	9.72975602636764e-05	0.0001056027431865	0.0001121091098898	0.0001242872036121	0.0001103322471736	0.0001695195392458	0.0001149098755462	0.0001203590500503	0.0001583940950681	9.89379461201934e-05	0.0001241958710375	0.000101416535459	0.0003935458480913	0.0	9.8941327792619e-05	0.0	5.8428279287175e-05	0.0	0.0	0.0	8.55431993156544e-05	0.0011276075925577	0.0004090816117815	0.0	0.0	0.0004800307219662	0.0001277955271565
Atribacterota	2.71525156805778e-05	0.0	2.9292012068309e-05	2.9542970250229e-05	0.0002428577736565	2.73889560425515e-05	3.68287640266793e-05	3.44669777630548e-05	3.16812862602222e-05	2.29528599263468e-05	2.24429566351071e-05	1.99106509538446e-05	2.33157601585472e-05	3.75036421806349e-05	1.59047130966476e-05	2.74678488828826e-05	2.90954104635031e-05	2.12370381668189e-05	3.26354780281644e-05	2.00142940797072e-05	5.09647363228289e-05	2.15450546265067e-05	2.93967979791222e-05	2.27212582765525e-05	2.29042878032256e-05	7.68361929203132e-06	3.71760340978585e-05	3.66216830326749e-05	2.39446921147952e-05	4.47250156951675e-05	2.11244194953932e-05	3.08817353064703e-05	2.93507324475282e-05	2.04109749812474e-05	9.85034857921035e-06	3.62175315488654e-05	2.37215563713135e-05	2.83100459613596e-05	5.20070883735265e-05	1.54233814607099e-05	1.70270730461434e-05	3.93421984420489e-05	2.53149602977039e-05	2.96805262357302e-05	1.47109662898207e-05	3.39039078491785e-05	2.87274688865552e-05	1.77371231653163e-05	2.99188846239812e-05	2.24858968454985e-05	2.82977934009546e-05	2.02833070918048e-05	0.0	0.0	9.8941327792619e-05	0.0	0.0	0.0	0.0001108278842956	0.0	0.0	0.0003758691975192	0.0002045408058907	0.0002205395868558	0.0	0.0	0.0007667731629392
Chrysiogenota	8.14575470417334e-05	6.56857593273778e-05	2.9292012068309e-05	2.9542970250229e-05	4.41559588466464e-05	5.4777912085103e-05	3.55588066464489e-05	6.31894592322672e-05	3.16812862602222e-05	6.88585797790405e-05	4.99865852327386e-05	2.86215607461516e-05	0.0001088068807398	5.19281199424175e-05	4.5946948945871e-05	5.49356977657652e-05	5.29007462972784e-05	6.56417543338038e-05	5.30326517957672e-05	6.71447285254695e-05	7.3180134207139e-05	4.30901092530134e-05	3.54788941127337e-05	5.74714179936327e-05	4.46030867747026e-05	5.37853350442192e-05	3.53172323929655e-05	4.66094147688589e-05	7.40108665366397e-05	6.62592825113593e-05	5.67023891718449e-05	7.72043382661759e-05	5.57663916503036e-05	5.10274374531185e-05	1.64172476320172e-05	4.97991058796899e-05	6.91878727496644e-05	5.66200919227192e-05	5.97118422066415e-05	4.4342221699541e-05	7.54056092043492e-05	7.45431128375664e-05	3.25478060970479e-05	0.0001335623680607	6.98770898766485e-05	7.20458041795042e-05	5.42629967857154e-05	5.3211369495949e-05	7.39172443651301e-05	6.11616394197559e-05	5.65955868019092e-05	7.85978149807435e-05	0.0	0.0	0.0	0.0	0.0	0.0001110740864156	0.0	0.0	8.55431993156544e-05	0.0	0.0	0.0001470263912372	0.0	9.60061443932412e-05	0.0
Aquificota	2.71525156805778e-05	0.0	2.9292012068309e-05	2.9542970250229e-05	0.0001103898971166	6.208163369645e-05	4.95283378289825e-05	5.36152987425298e-05	5.1482090172861e-05	8.4160486396605e-05	4.38657788777094e-05	4.23101332769198e-05	6.21753604227924e-05	7.50072843612697e-05	4.94813296340149e-05	5.12733179147142e-05	4.89331903249825e-05	6.75723941671509e-05	4.48737822887261e-05	5.93972598494538e-05	6.79529817637719e-05	6.07178812201552e-05	3.85199421795394e-05	6.01445072026389e-05	6.26854192509334e-05	5.95480495132427e-05	6.50580596712523e-05	5.74294574830583e-05	5.8773335190861e-05	5.79768721974394e-05	5.11433314098993e-05	0.0001049979000419	5.13637817831744e-05	6.63356686890541e-05	1.06712109608112e-05	4.30083187142776e-05	5.33735018354554e-05	5.52045896246513e-05	5.00808999152477e-05	7.3261061938372e-05	6.56758531779816e-05	5.38366926049091e-05	3.01368574972666e-05	4.26657564638621e-05	7.72325730215589e-05	9.32357465852408e-05	3.51113508613453e-05	6.71476805544118e-05	7.7437113144422e-05	4.31729219433571e-05	4.08745904680455e-05	6.33853346618899e-05	0.0	0.0	4.94706638963095e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001879345987596	0.0	0.0002940527824744	0.0001513660788617	0.0	0.000255591054313
Calditrichota	0.0001086100627223	9.85286389910667e-05	0.0	0.0001181718810009	8.83119176932927e-05	0.0001132076849758	9.77867182777346e-05	0.0001148899258768	9.90040195631943e-05	9.18114397053873e-05	9.38523641104479e-05	8.08870194999938e-05	0.0001813448012331	0.0001528994642748	9.36610882358139e-05	0.0001098713955315	8.99312687053733e-05	0.0001023239111674	0.000101985868838	0.0001097558062435	0.0001607349376335	8.03042945169795e-05	7.80535670480141e-05	9.22215777107129e-05	0.0001024665506986	7.49152880973054e-05	9.8516490359325e-05	0.0001065358051859	0.0001327842017275	0.0001027018878926	0.0001011748512674	0.000148232329471	0.0001012600269439	9.44007592882693e-05	2.13424219216224e-05	8.82802331503593e-05	0.0001087238000351	0.0001443812344029	0.0002003235996609	0.0001156753609553	9.48651212570845e-05	0.0001221678793726	9.76434182911437e-05	0.0001539677298478	8.09103145940141e-05	0.0001843524989299	0.0001149098755462	9.37533653023863e-05	0.000139034816782	8.00497927699747e-05	9.58980776365683e-05	9.38102952995971e-05	0.0	0.0	0.0	0.0	5.8428279287175e-05	0.0005553704320781	0.0	0.000184331797235	0.0005988023952095	0.0	0.0002045408058907	7.35131956186135e-05	7.56830394308635e-05	0.0	0.0
Deferribacterota	0.0	6.56857593273778e-05	5.85840241366179e-05	5.90859405004579e-05	8.83119176932927e-05	5.29519816822662e-05	6.09579542510553e-05	5.55301308404773e-05	6.73227333029721e-05	9.18114397053873e-05	5.30469884102532e-05	4.60433803307657e-05	6.99472804756415e-05	7.50072843612697e-05	4.5946948945871e-05	7.87411667975967e-05	6.34808955567341e-05	6.75723941671509e-05	4.69134996654864e-05	5.48779031217779e-05	9.5395532091449e-05	6.07178812201552e-05	4.35883556242157e-05	4.6779061157608e-05	4.94250421016974e-05	5.18644302212114e-05	4.64700426223231e-05	5.16032806369509e-05	8.92483978824185e-05	7.28852107624953e-05	6.6708693143347e-05	4.63226029597055e-05	5.28313184055508e-05	4.08219499624948e-05	1.39546604872147e-05	7.24350630977307e-05	7.70950582067689e-05	6.93596126053311e-05	0.0001078665536636	8.0972752668727e-05	5.83785361582058e-05	5.38366926049091e-05	6.87120350937678e-05	5.93610524714603e-05	2.57441910071863e-05	7.62837926606516e-05	5.42629967857154e-05	6.0812993709656e-05	8.27169163133598e-05	4.22734860695372e-05	5.34513875351364e-05	6.08499212754143e-05	0.0	0.0	9.8941327792619e-05	0.0	0.0	0.0	0.0	0.000184331797235	8.55431993156544e-05	0.0	0.0	0.0001470263912372	0.0	0.0	0.0
Dictyoglomota	0.0	0.0	0.0	0.0	0.0	7.30372161134706e-06	6.3497869011516e-06	1.14889925876849e-05	7.92032156505554e-06	5.10063553918818e-06	5.10067196252434e-06	7.46649410769173e-06	0.0	1.15395822094261e-05	8.8359517203598e-06	3.66237985105101e-06	6.6125932871598e-06	1.93063983334717e-06	2.03971737676028e-06	5.16497911734381e-06	1.17610929975759e-05	7.8345653187297e-06	4.05473075574099e-06	8.01926762701852e-06	3.61646649524615e-06	1.1525428938047e-05	7.43520681957169e-06	9.98773173618405e-06	6.53037057676233e-06	1.15953744394879e-05	4.44724620955646e-06	6.17634706129407e-06	1.17402929790113e-05	5.10274374531185e-06	3.28344952640345e-06	2.26359572180409e-06	3.95359272855225e-06	1.13240183845438e-05	1.15571307496725e-05	1.15675360955324e-05	9.72975602636764e-06	2.07064202326573e-06	7.23284579934398e-06	5.5650986691994e-06	3.67774157245519e-06	4.23798848114731e-06	0.0	7.601624213707e-06	1.05596063378757e-05	3.59774349527976e-06	7.86049816693183e-06	1.01416535459024e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.35131956186135e-05	0.0	0.0	0.0
Coprothermobacterota	0.0	0.0	0.0	0.0	0.0	1.82593040283677e-06	2.53991476046064e-06	7.65932839178997e-06	3.96016078252777e-06	2.55031776959409e-06	3.06040317751461e-06	1.24441568461529e-06	2.59064001761635e-06	1.44244777617826e-05	5.30157103221588e-06	3.66237985105101e-06	3.96755597229588e-06	7.72255933338868e-06	4.07943475352055e-06	5.16497911734381e-06	1.43746692192594e-05	0.0	4.05473075574099e-06	1.33654460450309e-06	3.61646649524615e-06	5.76271446902349e-06	1.85880170489292e-06	1.66462195603068e-06	1.08839509612705e-05	3.31296412556797e-06	2.22362310477823e-06	1.23526941225881e-05	5.87014648950565e-06	5.10274374531185e-06	8.20862381600862e-07	2.26359572180409e-06	3.95359272855225e-06	2.83100459613596e-06	0.0	3.85584536517748e-06	4.86487801318382e-06	1.44944941628601e-05	4.82189719956265e-06	1.85503288973313e-06	1.83887078622759e-05	8.47597696229462e-06	1.91516459243701e-05	5.06774947580466e-06	1.23195407275217e-05	6.29605111673958e-06	4.7162989001591e-06	5.0708267729512e-06	0.0	0.0	0.0	0.0	0.0001168565585743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrososphaerota	5.43050313611556e-05	9.85286389910667e-05	2.9292012068309e-05	5.90859405004579e-05	4.41559588466464e-05	0.0001278151281985	0.0001422352265857	0.0002565875011249	7.92032156505554e-05	6.12076264702582e-05	5.20268540177483e-05	5.10210430692268e-05	0.0009611274465356	0.0011106847876572	0.0067188576881615	0.0015766545258774	0.0002301182463931	0.0011332855821747	4.28340649119658e-05	0.0070850601042163	0.0001385195397492	6.26765225498376e-05	4.86567690688919e-05	5.88079625981358e-05	6.02744415874359e-05	0.0081465573543762	6.87756630810382e-05	8.73926526916105e-05	0.0008620089161326	0.0006559668968624	9.33921704006858e-05	0.0021493687773303	0.0002905722512305	5.86815530710863e-05	2.70884585928285e-05	0.0005704261218946	0.0008263008802674	8.06836309898749e-05	9.43832344556591e-05	7.71169073035495e-05	0.0007321641409841	0.0047728298636275	6.02737149945332e-05	0.000319065657034	0.0048068082351989	0.0056873805416996	4.46871738235304e-05	0.0057975054003205	0.0037838589377388	0.0001187255353442	0.0001210516717707	0.0007099157482131	0.0	0.0	0.0	0.0001630789302022	0.0	0.0006664445184938	0.0002216557685913	0.0	0.0	0.0	0.0	0.0	0.0001513660788617	0.0	0.0
