#OTU ID	mgm4612434	mgm4482714	mgm4483800	mgm4483883	mgm4483943	mgm4484670	mgm4484859	mgm4484865	mgm4486239	mgm4718316	mgm4718317	mgm4718318	mgm4718320	mgm4718322	mgm4718324	mgm4718325	mgm4718326	mgm4718328	mgm4718329	mgm4718330	mgm4718331	mgm4718332	mgm4718333	mgm4718334	mgm4718335	mgm4718336	mgm4718337	mgm4718338	mgm4718339	mgm4718340	mgm4718341	mgm4718342	mgm4718343	mgm4718344	mgm4718345	mgm4718346	mgm4718347	mgm4718348	mgm4718349	mgm4718350	mgm4718351	mgm4718353	mgm4718355	mgm4718356	mgm4718357	mgm4718358	mgm4718359	mgm4718360	mgm4718361	mgm4718362	mgm4718363	mgm4718364	mgm4578704	mgm4578705	mgm4578706
Candidatus Kuenenbacteria	3.37275926283786e-05	1.54513949449123e-05	2.92048682568393e-05	3.05326251414713e-05	1.52808043980633e-05	1.04916283799947e-05	2.69630202177713e-05	2.20607430303372e-05	1.12470084752191e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003877471888328	0.0	0.0	0.0	0.0005506607929515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004952947003467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009478672985781	0.0	0.0	0.0	2.03422470046041e-05	3.83303307907547e-05	1.70160631636265e-05
Candidatus Lloydbacteria	7.29703890827813e-05	1.63878431233918e-05	3.45590941039265e-05	4.74493498820162e-05	1.15638519769128e-05	1.305624865066e-05	5.54239860031966e-05	0.0002001808163863	1.43578831598542e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002496878901373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005076142131979	0.0	0.0	0.0	0.0003165558721114	0.0002158894645941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005081300813008	0.0	0.0	0.0	0.0	0.0009478672985781	0.0003998400639744	0.0	0.0004926108374384	2.71229960061388e-05	2.8747748093066e-05	8.50803158181323e-06
Candidatus Kerfeldbacteria	6.44854601196672e-05	3.74579271391812e-05	4.91615282323461e-05	3.42460525235421e-05	2.31277039538255e-05	3.33400635186497e-05	5.64226163816326e-05	4.28958892256557e-05	3.30231312676647e-05	0.0	0.0003466204506065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003877471888328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003010234798314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003372681281618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.04099866871295e-05	9.58258269768868e-05	1.70160631636265e-05
Candidatus Terrybacteria	4.09397822470256e-05	1.38126106325731e-05	3.9426572146733e-05	2.14553582075204e-05	1.92042541759444e-05	3.77698621679808e-05	4.39397366511829e-05	1.71583556902623e-05	1.55543734231754e-05	0.0	0.0	0.0	0.0007230657989877	0.0	0.0	0.0	0.0	0.0002154243860405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002325311010347	0.0	0.0	0.0	0.0	0.000539374325782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55472403481689e-05	1.91651653953774e-05	5.95562210726926e-05
Candidatus Yonathbacteria	5.34550524676189e-05	9.36448178479531e-06	3.84530765381717e-05	3.46586555659944e-05	1.19768466903739e-05	1.91180783813236e-05	4.54376822188369e-05	2.85972594837704e-05	1.38792870545257e-05	0.0	0.0	0.0	0.0	0.0	0.0002610966057441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005076142131979	0.0	0.0	0.0	0.0	0.0002158894645941	0.0001214624073849	0.0	0.0	0.0001162655505173	0.0	0.0	0.0	0.0	0.0	0.0	0.0004952947003467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004960317460317	0.0	2.48627463389606e-05	3.83303307907547e-05	3.40321263272529e-05
Candidatus Niyogibacteria	2.90608816986658e-05	5.15046498163742e-06	1.16819473027357e-05	8.25206084904629e-06	1.32158308307575e-05	1.07247756773279e-05	1.29821949196677e-05	7.55784714928219e-05	6.46104742193439e-06	0.0	0.0003466204506065	0.0	0.0	0.0	0.0	0.0002496878901373	0.0	0.0	0.0	0.0	0.0001550628004341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002158894645941	0.0001214624073849	0.0	0.0	0.0	0.0	0.0003336670003336	0.0	0.0002474634991338	0.0	0.0003000300030003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39037450076735e-05	9.58258269768868e-05	1.70160631636265e-05
Candidatus Campbellbacteria	3.79700571099356e-05	1.17056022309941e-05	4.38073023852589e-05	2.84696099292097e-05	1.6932783251908e-05	1.00253337853282e-05	2.89602809746433e-05	1.02133069584894e-05	1.62722675811681e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002496878901373	0.0	0.0002154243860405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001214624073849	0.0	0.0	0.0	0.0003010234798314	0.0003336670003336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39037450076735e-05	0.0001437387404653	7.65722842363191e-05
Candidatus Colwellbacteria	3.16063603876e-05	1.10032660971345e-05	2.23903989969101e-05	1.81545338679018e-05	5.78192598845639e-06	3.96350405466465e-06	2.54650746501174e-05	1.42986297418852e-05	8.85402794857676e-06	0.0	0.0	0.0	0.0007230657989877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003165558721114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003998400639744	0.0	0.0	1.80819973374259e-05	8.62432442791981e-05	2.55240947454397e-05
Candidatus Vogelbacteria	4.00912893507141e-05	1.66219551680117e-05	6.37639623607658e-05	3.05326251414713e-05	2.5399174877862e-05	1.49214270293257e-05	3.04582265422972e-05	4.77982765657306e-05	2.24940169504383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002496878901373	0.0	0.0	0.0	0.0	0.0	0.0003877471888328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97254926779212e-05	2.8747748093066e-05	6.80642526545059e-05
Candidatus Spechtbacteria	3.60609480932349e-05	9.13036974017543e-06	3.50458419082072e-05	1.48537095282833e-05	7.84689955576224e-06	1.28231013533268e-05	2.64637050285533e-05	1.87924848036206e-05	8.61472989591253e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0004993757802746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97254926779212e-05	0.0	3.40321263272529e-05
