#OTU ID	mgm4665263	mgm4665264	mgm4665265	mgm4665266	mgm4665267	mgm4665270	mgm4665271	mgm4665272	mgm4665273	mgm4665276	mgm4665277	mgm4665278	mgm4665279	mgm4665280	mgm4665281	mgm4665282	mgm4665283	mgm4665284	mgm4665285	mgm4665286	mgm4665287	mgm4665288	mgm4665289	mgm4665291	mgm4665292	mgm4665293	mgm4665294	mgm4665295	mgm4665296	mgm4665297	mgm4665298
Thermodesulfobacteriota	0.0036389631215113	0.0057634564769017	0.0058512885295091	0.0030486493461803	0.0055477694253835	0.0057391185376409	0.0060301194914614	0.0035337918288283	0.0060030237564707	0.0047055155452264	0.0062413738081424	0.0045717887699019	0.0046248661176759	0.0051017153488312	0.0057058873036604	0.0038502044184775	0.0061247147395618	0.0053777079254786	0.0070867023072807	0.0083051271034101	0.0073590496895003	0.0058048092619243	0.0047362369796383	0.0057930219138365	0.0057518299003109	0.0077318942814657	0.0052894842326839	0.0050533159678569	0.0049340855413739	0.0068973897786792	0.0025545203038404
Nitrospirota	0.0004777312563497	0.0006809782584131	0.0007526847952606	0.000292001958812	0.000570066070876	0.0006768847459701	0.0006656683123219	0.0004504984805672	0.0005497053534062	0.0004184503797847	0.0006610503126201	0.0003930817610062	0.000675995996699	0.0005700872168842	0.0005361445595354	0.000498485158989	0.0007302377152188	0.0007444784514848	0.0006232048475282	0.0007420576810094	0.000778769099206	0.0008850562401296	0.0006625774357585	0.0006558669124994	0.0009194523705663	0.0007407737768258	0.0007994611972357	0.0005885804099721	0.0005235769194527	0.0005976017691675	0.0002270209675881
Campylobacterota	0.0029428801701196	0.0016572479740143	0.0026804898630681	0.0013942473132511	0.0017262153946961	0.0028290541975855	0.0022600727880304	0.0050932096461765	0.0014221458114186	0.0022672899662846	0.0021110961596579	0.0024987251402345	0.0045844819412498	0.0019113264056162	0.0020121006580239	0.0024623584361491	0.0015438690126127	0.0031222139502394	0.0021390059835253	0.0046967757210126	0.0026970450274956	0.0023137093520405	0.0030049555072101	0.0041847874531439	0.0033796627940946	0.00223319906582	0.0024020882311754	0.0024230678317733	0.0029530042220513	0.001639659450223	0.0013664011533178
Bacteroidota	0.708583238239084	0.592949765800729	0.562814737223859	0.782666995341204	0.63294515935276	0.629315590311907	0.561820500628786	0.697762613068899	0.650827008705553	0.64330865706829	0.594732774639198	0.661216641169471	0.650228258388496	0.61168904891526	0.606621852878192	0.65083330102411	0.533620303944226	0.538662328471246	0.537950993523223	0.449304416832543	0.47790640553499	0.51075395678123	0.637330852084116	0.557951330734261	0.507690783865662	0.484645532677261	0.621463643779651	0.621756568792807	0.676541930228246	0.621106329002246	0.832980545884956
Ignavibacteriota	0.0005458792376048	0.000451223425652	0.0005308301920815	0.0002692539308592	0.0003385449846198	0.0006318791112647	0.0005385781004901	0.0008485720886424	0.0003807972612759	0.0004232365769391	0.0003978066953587	0.0003937900164315	0.0008805506294664	0.0004998356759934	0.0004566580114647	0.0005768185411159	0.0003734582158269	0.0007040376467128	0.0004230583896462	0.000655466016608	0.0004869959353345	0.000483197219361	0.0007417053885182	0.0007224857262154	0.0007743809954497	0.0004231439048241	0.0004401111688211	0.0004162440659323	0.0005304160954688	0.0003712122410149	0.000231296315377
Chlorobiota	0.0004951159454454	0.0007517879445756	0.0007506587258251	0.0003647956482608	0.0006217578857319	0.0008506064959332	0.0007945360096339	0.0004833750955198	0.0009380431545094	0.0004936620493538	0.0007904661691509	0.0004886962434132	0.0006180534826962	0.0006056167318175	0.0007278474107646	0.0005135188383871	0.0007389396542284	0.0007132287387064	0.0008527567091748	0.0009218175919186	0.000828635785395	0.0006217137555779	0.0006311169244204	0.0006117671344058	0.0006743317712314	0.0007755825299219	0.0005638461270587	0.0007486742814845	0.0007112743056716	0.000853122302781	0.0003125279233652
Balneolota	1.87754642233529e-05	3.3144959480287e-05	2.73519373782459e-05	1.98528243951506e-05	5.16918148559364e-05	2.79034935173884e-05	2.66622822024823e-05	3.19880577917577e-05	1.88513495681156e-05	4.102454703772e-05	4.4119041999122e-05	4.81613689160859e-05	3.51166751531965e-05	2.74546251757298e-05	4.67567929827405e-05	3.63973290690434e-05	1.37780700984697e-05	4.50363507688348e-05	2.84568423528876e-05	4.38438807095694e-05	2.54638397560564e-05	2.97971618605992e-05	5.14808367351997e-05	3.37785534334492e-05	2.80137827811283e-05	3.37209795618231e-05	2.66734041709795e-05	4.33195181739505e-05	3.72355138652895e-05	2.08078610434393e-05	1.4108647703219e-05
Gemmatimonadota	0.0001717607282654	0.0002546135523712	0.0003555751859171	0.0001228393509449	0.0002147758504577	0.0002817352732562	0.0002524029381834	0.0001892626752679	0.0002691972718326	0.0001586282485458	0.0002080948147625	0.0001189869114397	0.0002308921391322	0.0002010647549634	0.00018936501158	0.0001709091973676	0.0002842633409789	0.0002233435354454	0.0002352432301172	0.0002257959856542	0.000339517863414	0.0002923343177134	0.0002307104164799	0.0002392647534869	0.0002521240450301	0.0003600530398375	0.000241542493326	0.0002599171090437	0.0002424107943474	0.0003062917145594	9.27750470181373e-05
candidate division Zixibacteria	7.9274182276379e-05	6.85498025615027e-05	6.48342219336199e-05	3.35016411668167e-05	5.16918148559364e-05	7.20090155287442e-05	5.77682781053782e-05	6.1310444100869e-05	3.9964861084405e-05	4.17082894883487e-05	4.55896767324261e-05	3.47045158365913e-05	7.11112671852229e-05	0.0001098185007029	0.0001145541428077	7.83333821268542e-05	6.81651889082185e-05	8.18007187433939e-05	5.59651232940123e-05	5.26126568514832e-05	8.06354925608453e-05	8.13381985924465e-05	9.72415804998217e-05	5.1606123301103e-05	8.20403638590186e-05	9.35485239457027e-05	6.89062941083637e-05	4.04943322060841e-05	4.48345983275935e-05	4.32803509703538e-05	2.52245519542401e-05
Candidatus Marinimicrobia	7.37110817657559e-05	9.64217003062896e-05	0.0001387857563266	8.39609031711578e-05	0.0001048397371726	0.0001179147629283	0.0001315339255322	0.0001012955163405	9.12405319096794e-05	0.0001046125949461	0.0001411809343971	0.0001430675958977	0.0001272979474303	7.59039637211353e-05	0.0001145541428077	0.0001044445095024	6.81651889082185e-05	0.0001001829027306	0.0001033931938821	0.000146877000377	9.76113857315496e-05	0.0001151620039477	7.43612086175107e-05	0.0001463737315449	0.000137067437179	0.0001109529004937	9.40978424920665e-05	7.43965638204802e-05	0.0001778185764179	0.0001090331918676	7.61011906416057e-05
Candidatus Hydrogenedentes	1.32123637127298e-05	2.93784868120726e-05	4.05213887085124e-05	2.89520355762613e-06	6.55248357328771e-06	2.61032681291698e-05	3.37722241231442e-05	3.55422864352864e-05	6.78648584452161e-06	7.52116695691534e-06	5.88253893321627e-06	1.06238313785484e-05	3.07270907590469e-05	4.84493385454055e-05	4.36396734505578e-05	2.8484866227947e-05	5.07613108890989e-06	3.58452587751951e-05	4.7428070588146e-06	1.75375522838277e-05	5.30496661584509e-06	2.25492035701832e-05	1.71602789117332e-05	2.06424493204412e-05	1.90093526014799e-05	5.43886767126178e-06	2.00050531282346e-05	1.41259298393317e-05	2.43170702793727e-05	7.49082997563816e-06	1.7101391155417e-06
Fibrobacterota	0.0143048175755034	0.0144120310176557	0.0029621135145922	0.0014666274021917	0.0011168344223803	0.0013069636318467	0.0034678741718028	0.003279664480816	0.0002940810532626	0.0046330388454598	0.0003941301085254	0.0008307836138024	0.0037618738257861	0.0059794558654788	0.0015655732850387	0.0543364648223771	0.0012487282478718	0.0224933594360346	0.0007265980414103	0.0033113090905902	0.0002694923040849	0.0058281637941934	0.0099472416758347	0.0044916093134978	0.0184380715311933	0.0001631660301378	0.0023420730717907	0.0005462026204541	0.0013815135552468	0.0002496943325212	0.0004198391528654
